domains,counts
'DUF779',3
'F420_MSMEG_2249',3
'MFS_1',3
"'MmgE_PrpD_C', 'MmgE_PrpD'",3
'CobN-Mg_chel',3
'DUF222',3
'D-hydantoinase',3
"'MLTR_LBD', 'HTH_31'",3
'EutB',3
"'LysR_substrate', 'HTH_5'",3
'Meth_synt_2',3
'PNTB',3
'decarb_PcaC',3
"'VWA_2', 'marine_srt_targ', 'DUF2201'",3
'prpB',3
'AcCoA-C-Actrans',3
'P450_cycloAA_1',3
"'VWA_2', 'marine_srt_targ'",3
"'GG-red-SF', 'DAO'",3
'PaaN-DH',3
'PaaC-3OHAcCoADH',3
"'TetR_N', 'TetR_C_6'",3
'tdh',3
'AAA_5',3
"'ABC2_membrane', 'drrC'",3
'Glycos_transf_2',3
'Beta-lactamase',3
'TRX_reduct',3
'FeFe_hydrog_B1',3
'Peripla_BP_6',3
"'HTH_AsnC-type', 'AsnC_trans_reg', 'MarR_2', 'HTH_Tnp_ISL3'",3
'2A0106',3
"'mycofact_rSAM', 'rSAM_BlsE'",3
"'Isochorismatase', 'PqqA'",3
"'HisKA_3', 'GAF_2', 'GAF_3'",2
'ECF_T_CbiQ',2
"'Transp_cyt_pur', 'thia_cytX'",2
"'MR_MLE_C', 'MR_MLE_N'",2
'FMN_nitrolo',2
"'EAL', 'GGDEF'",2
"'SHOCT', 'DUF5826'",2
'MaoC_dehydrat_N',2
"'HisKA_3', 'DUF2604'",2
'Hemerythrin',2
'betaine_BetI',2
'bioA',2
'caca2',2
'ccpA',2
'SHOCT',2
"'HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'HTH_Tnp_ISL3'",2
"'TetR_N', 'RutR'",2
"'HTH_30', 'GGDEF_2'",2
"'TetR_N', 'RelB'",2
'DUF664',2
"'TetR_N', 'mycofact_TetR'",2
'EamA',2
'ETF',2
'TIGR00268',2
'FMN_reduc_MsuE',2
'aceE',2
'SfLAP',2
'FA_desaturase',2
'FAD_oxidored',2
'YoeB_toxin',2
'SmpB',2
"'XdhC_C', 'XdhC_CoxI'",2
'Lactamase_B',2
"'Fer4_13', 'Fer4_6', 'Fer4_2'",2
'Fer4_15',2
'MFS_3',2
"'SnoaL_4', 'Lumazine_bd_2'",2
"'FAD_binding_3', 'Se_ygfK'",2
"'MLTR_LBD', 'HTH_3'",2
"'Fer4_2', 'Fer4', 'aprB'",2
'L3_bact',2
'SoxH_rel_PQQ_2',2
"'SpoIIE', 'GAF_2'",2
'F420_MSMEG_2906',2
"'Fer4_9', 'Fer4', 'RLI'",2
'Flavodoxin_2',2
'EutC',2
'Hydrolase_4',2
"'HxlR', 'HTH_20'",2
"'GG-red-SF', 'Pyr_redox'",2
'acr3',2
"'GG-red-SF', 'Se_ygfK'",2
'HxlR',2
'Peripla_BP_4',2
'SBP_bac_8',2
"'HTH_AsnC-type', 'AsnC_trans_reg'",2
'Ribonuc_L-PSP',2
'menE',2
"'Mycofactocin_RRE', 'mycofact_MftB'",2
'DHquinase_II',2
"'N6_N4_Mtase', 'KCNQ2_u3'",2
'potA',2
'tartro_sem_red',2
"'AAA_5', '26Sp45'",2
'CutC',2
"'Cupin_6', 'HTH_18'",2
'PhoB',2
"'ArsA_ATPase', 'ArsA_HSP20'",2
'CpaE_hom_Actino',2
"'AAA_5', 'CbbQ_C'",2
'Oxidored_q2',2
"'2-Hacid_dh_C', 'NAD_binding_2'",2
'Clp_N',2
'NUDIX',2
"'NUDIX', 'NYN_YacP'",2
"'mycofact_rSAM', 'SCM_rSAM_ScmE'",2
'COXG',2
'rluA_subfam',2
"'Response_reg', 'GerE', 'HTH_10'",2
'quinone_pig3',2
'RelA_SpoT',2
'Polyketide_cyc2',2
'PhyH',2
"'mycofact_rSAM', 'rSAM_for_selen'",2
"'mycofact_rSAM', 'rad_SAM_trio'",2
'Amino_oxidase',2
'pntA',2
'Amidohydro_3',2
"'pcaR_pcaU', 'HTH_5'",2
'2A0305',2
"'drrB', 'ABC2_membrane'",2
'pcaR_pcaU',2
'4HBT',2
'2A0114',2
"'Acyl-CoA_dh_2', 'sulfur_SfnB', 'Acyl-CoA_dh_1'",2
"'DUF4190', 'Septum_form'",2
'Acetyltransf_1',2
"'SBD_N', 'NBD_C'",2
'Acyl_transf_3',2
'DUF397',2
'gas_vesic_GvpN',2
'SAICAR_synt',2
"'phoR_proteo', 'sensory_box'",2
'4HBT_2',2
'DUF6286',2
'glycerol_kin',2
"'phoR_proteo', 'sensory_box', 'DivIC'",2
'pimC_large',2
"'DUF222', 'HNH'",2
"'AA-adenyl-dom', 'AMP-binding', 'Condensation', 'alpha_am_amid', 'PP-binding', 'Thioesterase'",2
'urea_trans_UrtE',2
'ABM',2
"'efflux_EmrB', 'MFS_1'",2
'TENA_THI-4',1
'TF_pcaQ',1
'PorB_KorB',1
"'Pro_dh', 'PutA_N'",1
'Prenyltransf',1
'Ppx-GppA',1
'TIGR03083',1
'TIGR00096',1
'Polbeta',1
'TctA',1
"'Pkinase', 'DUF4189'",1
'PhdYeFM_antitox',1
"'TetR_N', 'AAA_8', 'MoaE'",1
"'PetG', 'DUF6404'",1
'PfkB',1
'Phage_holin_4_2',1
'Phage_integrase',1
"'Phage_integrase', 'recomb_XerC'",1
'TetR_C_33',1
"'TetR_C_31', 'HARE-HTH'",1
'TetR_C_31',1
"'TetR_C_24', 'TetR_N'",1
'TetR_C_24',1
'TOMM_kin_cyc',1
"'TetR_C_1', 'TetR_N'",1
'TctC',1
"'Phenol_Hydrox', 'YHS'",1
'PhnT2',1
'TctB',1
"'PhnU2', 'TrbK_Ti'",1
"'Pyr_redox_2', 'Pyr_redox'",1
'TTC',1
"'TSP_3', 'Dockerin_1', 'TSP3_bac'",1
'Phosphodiest',1
"'PucR', 'HTH_30'",1
"'SDR_subfam_2', 'SDR_subfam_1'",1
'T7SS_ESX_EspC',1
"'SHOCT', 'Phage_holin_3_6'",1
'Rieske',1
'Ring_hydroxyl_B',1
'RraA-like',1
'SLT_2',1
'SLAC1',1
'RskA',1
"'Rubredoxin', 'PHD_4', 'zf-C2H2'",1
"'SHOCT', 'cytochro_ccmI'",1
"'SHOCT', 'S_4TM'",1
"'Rubredoxin', 'zf-RanBP', 'zf-C2H2', 'Rubredoxin_2', 'UPF0547'",1
'S4_2',1
"'SHOCT', 'DUF4133', 'Phage_holin_2_3'",1
'Ribosomal_S9',1
"'SBP_bac_1', 'SBP_bac_8', 'chitin_NgcE', 'TAT_signal'",1
'SBP_bac_11',1
"'TetR_N', 'DprA_WH'",1
'SCFA_trans',1
"'SHOCT', 'DUF4133'",1
"'SCM_rSAM_ScmF', 'rSAM_Geo_metal'",1
'SGNH',1
"'SGL', 'NHL', 'Tcp10_C'",1
"'SCP2', 'Alkyl_sulf_C'",1
'SGL',1
"'SDR_subfam_2', 'pter_reduc_Leis'",1
"'Ricin_B_lectin', 'Cellulase'",1
'SPW',1
"'Pyr_redox_2', 'Reductase_C', 'NAD_binding_8'",1
'ROK',1
'SucB_Actino',1
"'SpoIIE', 'PAS_4', 'HATPase_c_2', 'GAF_2'",1
'Pyr_redox_3',1
"'Pyr_redox_3', 'NAD_binding_8'",1
"'Pyr_redox_3', 'NAD_binding_8', 'sms'",1
'SoxR',1
"'Pyr_redox_3', 'NAD_binding_9'",1
'Sortase',1
'Pyridoxal_deC',1
"'SDR_subfam_2', 'mycofact_glyco'",1
"'RNase_Z', 'TAT_signal_seq'",1
'ROK_glcA_fam',1
'Ribosomal_L31',1
'SnoaL',1
'RPE65',1
'Redoxin',1
'SigE-fam_strep',1
'Reductase_C',1
'SUFU',1
"'Response_reg', 'GerE', 'HTH_24'",1
"'Response_reg', 'GerE', 'HTH_28'",1
'Rhodanese',1
'SSADH',1
'SRAP',1
'RHH_1',1
'/NonD',1
"'TetR_N', 'HTH_7'",1
"'mycofact_glyco', 'Apelin'",1
"'mycofact_glyco', 'Methyltransf_23', 'PqqD_rel_X'",1
"'mycofact_glyco', 'glyco_like_mftF'",1
"'mycofact_glyco', 'ovoA_Cterm'",1
"'mycofact_rSAM', 'Bradykinin'",1
"'mycofact_rSAM', 'DUF6059'",1
"'mycofact_rSAM', 'Fer4_14'",1
"'mycofact_rSAM', 'NIR_SIR_ferr'",1
"'mycofact_rSAM', 'mycofact_MftB'",1
"'mycofact_rSAM', 'pilus_cpaD'",1
"'mycofact_rSAM', 'quino_hemo_SAM'",1
"'mycofact_rSAM', 'rSAM_NirJ'",1
"'mycofact_rSAM', 'rSAM_QueE_gams'",1
"'mycofact_rSAM', 'rSAM_ahbC_deAc'",1
"'mycofact_rSAM', 'zf-RAG1'",1
"'mycofactocin', 'DUF2080'",1
"'mycofactocin', 'NPR'",1
"'mycofactocin', 'VIGSSK'",1
"'mycofact_glyco', 'Methyltransf_23'",1
"'mycofact_creat', 'NOT-MenG'",1
"'TetR_N', 'HTH_IclR'",1
"'mycofact_OYE_1', 'Thi4'",1
'flgA_cterm',1
'fpg',1
'fumC_II',1
"'gas_vesic_GvpN', 'Mg_chelatase'",1
'gentisate_1_2',1
'glcD',1
'glucar-dehydr',1
'glycerol3P_GlpA',1
'gntK_FGGY',1
'hemL',1
'hemeryth_dom',1
"'his_ut_repres', 'HTH_41'",1
'hmgA',1
'isocit_lyase',1
'leuA_yeast',1
'mycoS_dep_FDH',1
"'mycofact_OYE_1', 'FAD_oxidored'",1
'myo_inos_iolC_N',1
'nickel_nikE',1
"'nitrile_beta', 'SHOCT'",1
'ntrC',1
'pter_reduc_Leis',1
'ptsS_2',1
'rplD_bact',1
'rplM_bact',1
"'rve_3', 'HTH_32', 'HTH_21'",1
"'sCache_3_3', 'sCache_3_2', 'HAMP'",1
'sulphoacet_xsc',1
'trehalose_treC',1
'trpS',1
"'urea_trans_UrtD', 'BPD_transp_2'",1
'uvra',1
'xseA',1
'xseB',1
'xylG',1
"'xylG', 'ECF_ATPase_2'",1
'yidC_nterm',1
"'zf-CGNR', 'ABATE'",1
"'pta', 'AAA_26', 'DRTGG'",1
"'propeller_TolB', 'DPPIV_N'",1
'pro_imino_pep_2',1
'pcrA',1
"'ntrC', 'GAF', 'PAS_4', 'HTH_28'",1
"'omega_3_PfaA', 'KR', 'PS-DH', 'PP-binding', 'Docking'",1
"'omega_3_PfaA', 'PS-DH', 'Ketoacyl-synt_C', 'PP-binding', 'Docking'",1
"'omega_3_PfaA', 'PS-DH', 'fabD', 'malonate_mdcH', 'PP-binding', 'PT_fungal_PKS', 'Docking', 'menH_SHCHC', 'Thioester-redct'",1
'p450',1
'panF',1
'pcaF',1
'pdxA',1
'pro_imino_pep_1',1
'pepN_strep_liv',1
'pgm',1
'phoR_proteo',1
"'phoR_proteo', 'Response_reg'",1
"'phoR_proteo', 'cztS_silS_copS'",1
'pimD_small',1
"'proV', 'MsbA_rel'",1
'flavo_MJ0208',1
'fdhA_non_GSH',1
'eno',1
"'VWA_CoxE', 'TetR_C_11', 'NPV_P10'",1
"'Trans_reg_C', '3HCDH_RFF'",1
"'Transglut_core3', 'Stand_Alone_Lasso_RRE'",1
'Trns_repr_metal',1
'Trypsin',1
"'Trypsin_2', 'TPR_16', 'DZR'",1
"'Usp', 'DUF2478'",1
'VTC',1
'VWA',1
"'VWA_2', 'Cob-chelat-sub', 'marine_srt_targ'",1
"'VWA_2', 'VWA_CoxE'",1
"'VWA_2', 'acidobact_VWFA'",1
"'VWA_2', 'marine_srt_targ', 'CobT_C'",1
"'VWA_CoxE', 'Abhydrolase_8'",1
"'VWA_CoxE', 'DUF2201'",1
"'VWA_CoxE', 'DUF732'",1
"'VWA_CoxE', 'HalX'",1
"'VWA_CoxE', 'Ribosomal_S30AE'",1
'TraG-D_C',1
'Thioesterase',1
"'ThiF', 'Prok-E2_B'",1
"'TetR_N', 'betaine_BetI', 'TetR_C_11'",1
"'TetR_N', 'LacI', 'HTH_23', 'TetR_C_11'",1
"'TetR_N', 'RutR', 'TetR_C_11'",1
"'TetR_N', 'TetR_C_16'",1
"'TetR_N', 'TetR_C_20'",1
"'TetR_N', 'TetR_C_29'",1
"'TetR_N', 'TetR_C_31'",1
"'TetR_N', 'TetR_C_33'",1
"'TetR_N', 'betaine_BetI', 'TetR_C_31'",1
'ThiF',1
"'TetR_N', 'mycofact_TetR', 'DprA_WH'",1
"'TetR_N', 'mycofact_TetR', 'HTH_8'",1
"'TetR_N', 'mycofact_TetR', 'RelB'",1
"'TetR_N', 'mycofact_TetR', 'TetR_C_15', 'LacI'",1
"'TetR_N', 'mycofact_TetR', 'betaine_BetI'",1
"'Tex_N', 'Tex_YqgF', 'HHH_3', 'HHH_9', 'S1', 'HHH_6'",1
"'Tex_N', 'Tex_YqgF', 'HHH_3', 'HHH_9', 'S1', 'HHH_6', 'TOBE_2'",1
"'VWA_CoxE', 'SBP_bac_11'",1
"'WD40', 'AAA_16', 'DnaA_homol_Hda', 'PQQ_ABC_repeats', 'HTH_31', 'PD40', 'Nbas_N', 'Proteasome_A_N'",1
"'efflux_EmrB', '2_A_01_02'",1
"'WD40', 'ANAPC4_WD40', 'AAA_16', 'PD40', 'HTH_31'",1
'ars_reduc_gluta',1
'asnS',1
'bacter_Hen1',1
'bchO_mg_che_rel',1
'benzo_1_2_benA',1
'catechol_dmpE',1
'citE',1
'cobS',1
'crcB',1
"'cyc_hxne_CoA_dh', 'Acyl-CoA_dh_2'",1
'cyt_deam_tetra',1
'cztR_silR_copR',1
'cztS_silS_copS',1
'dhaK1',1
'dnlj',1
"'drrB', 'Cm_res_leader'",1
'eda',1
'argG',1
'araD',1
"'amphi-Trp', 'Lsr2'",1
'acolac_lg',1
"'WD40', 'ANAPC4_WD40', 'AAA_16', 'PD40', 'PQQ_ABC_repeats', 'DUF6476'",1
'Xan_ur_permease',1
"'XdhC_C', 'xanthine_xdhC'",1
"'YhcG_C', 'DUF1016_N'",1
"'Peripla_BP_4', 'TAT_signal_seq'",1
'YqeY',1
'ac_ac_CoA_syn',1
"'actino_HemFlav', 'IMP_dehydrog'",1
'amidohydrolases',1
"'actino_HemFlav', 'enACPred_II'",1
'acyl_WS_DGAT',1
"'adh_short', '23BDH'",1
"'adh_short', 'AcAcCoA_reduct'",1
"'adh_short', 'dhbA_paeA'",1
"'adh_short', 'pter_reduc_Leis'",1
'alk_sulf_monoox',1
"'YkuD', 'PG_binding_4'",1
"'Mycofactocin_RRE', 'Hc1'",1
"'Peripla_BP_3', 'HTH_23'",1
'DUF732',1
'DUF4031',1
'DUF4096',1
'DUF429',1
'DUF4386',1
'DUF4913',1
'DUF4956',1
'DUF501',1
'DUF5134',1
"'DUF559', 'AbiEi_1'",1
"'DUF5753', 'HTH_3'",1
'DUF5990',1
'DUF5994',1
'DUF5996',1
'DUF6223',1
'DUF6264',1
'DUF6319',1
'DUF6325',1
'DUF6326',1
'DUF6507',1
"'DUF362', 'aprB'",1
'DUF362',1
'DUF350',1
'DUF1269',1
'DHPS',1
'DJ-1_PfpI',1
'DJC28_CD',1
"'DNA_alkylation', 'DivI1A_domain'",1
'DNA_binding_1',1
'DUF1015',1
'DUF11',1
'DUF1206',1
"'DUF1707', 'Defensin_big'",1
'DUF3311',1
'DUF1989',1
"'DUF222', 'Tcp10_C'",1
"'DUF222', 'Trypan_PARP'",1
"'DUF2306', 'YvrJ'",1
'DUF2461',1
"'DUF262', 'DUF1524'",1
'DUF3040',1
'DUF3293',1
'DUF6670',1
'DUF742',1
'DDE_5',1
'DUF899',1
"'FAD_binding_3', 'NAD_binding_8'",1
"'FAD_binding_3', 'Thi4'",1
"'FAD_binding_3', 'Ubi-OHases'",1
"'FAD_binding_3', 'crtI_fam'",1
"'FAD_binding_3', 'mycofact_OYE_1'",1
'FAD_binding_4',1
'FCD',1
"'FCD', 'GntR'",1
'FIST',1
'FMO-like',1
'FUR',1
'F_bP_aldolase',1
'FadJ',1
"'FeFe_hydrog_B1', 'Fer4'",1
"'FeFe_hydrog_B1', 'zf-C2H2_11'",1
'FeS_nifS',1
'Fer2',1
"'Fer4', 'Fer4_2'",1
"'Fer4_13', 'Fer4_6', 'Fer4', 'Fer4_2'",1
'FAD_binding_2',1
'FAA_hydrolase',1
"'F420_MSMEG_4879', 'LYTB'",1
"'EAL', 'ACT_7', 'DUF4398'",1
'DUF998',1
'Dabb',1
"'DcuC', 'CotJA'",1
'Dehydratase_hem',1
"'DeoRC', 'HTH_DeoR'",1
'DivIC',1
'DoxX',1
'DoxX_3',1
"'EAL', 'DICT'",1
"'Esterase_PHB', 'Hydrolase_4', 'selen_ocin'",1
"'EAL', 'DUF4131'",1
"'EAL', 'GGDEF', 'DUF4131'",1
"'EAL', 'PAS_4', 'choice_anch_A'",1
"'EF-G', 'GETHR'",1
"'EHN', 'Abhydrolase_1', 'protocat_pcaD'",1
"'ETF_alpha', 'DUF5559'",1
"'ETF_alpha', 'ETF', 'DUF1127'",1
"'ETF_alpha', 'TPP_enzyme_M'",1
'DDE_Tnp_1',1
"'DAP_DH_C', 'dapB'",1
"'Peptidase_S9_N', 'Peptidase_S9'",1
'AcAcCoA_reduct',1
"'AAA_5', 'RuvB_N'",1
"'AAA_5', 'RuvB_N', 'LonB_AAA-LID'",1
"'AAA_5', 'TmoB'",1
"'AAA_5', 'VWA_CoxE', 'AAA_16'",1
"'AAA_5', 'bpMoxR', 'AAA_16', 'ccmA', 'marine_srt_targ'",1
"'AAA_5', 'bpMoxR', 'TIGR02928'",1
"'AAA_5', 'bpMoxR', 'ruvB'",1
"'AAA_5', 'fruc_bis_ald_'",1
"'AAA_5', 'gas_vesic_GvpN', 'MCM', 'BchI-ChlI', 'AAA_30'",1
'ABATE',1
'ACPS',1
"'AFOR_C', 'AFOR_N'",1
"'AHSA1', 'MarR_2', 'HTH_Crp_2', 'GntR'",1
"'AIRC', 'purE'",1
'APH',1
'AP_endonuc_2',1
'ATP-grasp_4',1
"'ATP_bind_1', 'Ldl_recept_b'",1
'Abhydrolase_6',1
"'AAA_5', 'MCM', 'Mg_chelatase'",1
"'AAA_5', 'MCM', 'AAA_30'",1
"'AAA_5', 'Cob-chelat-sub'",1
"'AA-adenyl-dom', 'Condensation', 'alpha_am_amid', 'ligase_PEP_1', 'PP-binding'",1
"'2A0115', '2A0109'",1
'2a38',1
'2a6301s01',1
"'2a6301s01', 'Proton_antipo_M'",1
"'2a6301s04', 'Proton_antipo_M'",1
'3-dmu-9_3-mt',1
"'AA-adenyl-dom', 'AMP-binding', 'Condensation', 'alpha_am_amid', 'PP-binding'",1
"'AA-adenyl-dom', 'Condensation', 'alpha_am_amid'",1
"'AAA', '26Sp45', 'adk'",1
"'AAA_5', 'AAA_30'",1
"'AAA', 'cmk', 'adk'",1
"'AAA_16', 'Apidaecin'",1
"'AAA_16', 'GerE', 'HTH_47', 'HTH_23', 'TPR_19'",1
"'AAA_19', 'UvrD_C_2'",1
"'AAA_29', 'SbcC_Walker_B', 'AAA_23', 'SMC_prok_A'",1
'AAA_33',1
"'AAA_5', 'AAA'",1
"'AAA_5', 'AAA_3'",1
"'AbrB', 'Gneg_AbrB_dup'",1
'Acetyltransf_10',1
'DAPG_hydrolase',1
"'Acyl-CoA_dh_1', 'Acyl-CoA_dh_M', 'Acyl-CoA_dh_2'",1
'CLP_protease',1
'CMAS',1
'CM_mono_cladeE',1
"'CNNM', 'CBS'",1
"'CNNM', 'CorC_HlyC', 'CBS', 'DUF6416'",1
"'COXG', 'Polyketide_cyc2', 'CGP_CTERM'",1
'CSD',1
'CarboxypepD_reg',1
'CbiE',1
'CbtA',1
"'Cellulase', 'CBM_2'",1
"'Cep57_CLD_2', 'DUF1512', 'YlqD'",1
"'Chorismate_bind', 'GATase'",1
'CoA_trans',1
'Cupin_3',1
"'CycNucDiestase', 'TAT_signal_seq'",1
'Cyclase',1
'D1pyr5carbox2',1
'DAO',1
"'CDF', 'PSD2'",1
"'CBS', 'BON'",1
"'Big_5', 'DUF2680', 'DUF5666'",1
"'AraC_binding_2', 'HTH_18'",1
"'Acyl-CoA_dh_1', 'AidB_N', 'Acyl-CoA_dh_M'",1
"'Acyl-CoA_dh_2', 'sulfur_SfnB'",1
"'Acyl-CoA_dh_C', 'Acyl-CoA_dh_1', 'Acyl-CoA_dh_M', 'AcylCoA_DH_N', 'Acyl-CoA_dh_N'",1
"'Aldedh', 'Pro_dh', 'aldehy_Rv0768'",1
"'Aldedh', 'crcB'",1
'Amidase',1
"'Anthrone_oxy', 'YqhR'",1
'ApbE',1
"'AraC_binding_2', 'HTH_AraC'",1
"'Beta_helix', 'beta_helix_1'",1
"'Arabinose_Isome', 'Arabinose_Iso_C'",1
"'AsnC_trans_reg', 'HTH_AsnC-type', 'HTH_Tnp_ISL3'",1
'BKACE',1
'BPD_transp_1',1
'BPD_transp_2',1
"'BTAD', 'Trans_reg_C', 'AAA_22', 'PhoH'",1
"'Bac_luciferase', 'LLM_DMSO2_sfnG'",1
'BenE',1
'Fer4_19',1
"'Fer4_2', 'Fer4', 'zf-C2H2_11'",1
"'Fer4_2', 'aprB', 'Fer4', 'zf-C2H2_11'",1
'NDH_I_M',1
'Methyltransf_23',1
"'Methyltransf_23', 'DUF35_N'",1
"'Methyltransf_25', 'MenG_MenH_UbiE', 'UbiG', 'Methyltransf_23'",1
"'Methyltransf_25', 'MenG_heptapren'",1
'Methyltransf_3',1
"'MmgE_PrpD', 'MmgE_PrpD_C'",1
'MnhB',1
"'MoCoBD_2', 'MoCoBD_1', 'LAL_C2', 'Sigma70_r4_2'",1
'Mo_ABC_porter',1
"'MoaF_C', 'MoaF'",1
"'Mop', 'TOBE', 'HTH_17'",1
'MscL',1
'MtN3_slv',1
"'Mycofactocin_RRE', 'DUF2020'",1
"'Mycofactocin_RRE', 'PGF-CTERM'",1
'NAD_binding_10',1
"'NAD_binding_10', 'HpnA'",1
"'NAD_binding_2', 'NAD_binding_11'",1
"'NAD_binding_8', 'Pyr_redox_3', 'MnmC_Cterm', 'lipoamide_DH'",1
"'Methyltransf_2', 'Dimerisation2'",1
"'Methyltransf_11', 'Methyltransf_23'",1
"'Methyltransf_11', 'Methyltransf_12'",1
"'MR_MLE_C', 'Enolase_like_N'",1
'LmeA',1
"'MFS_1', '2A0118'",1
"'MFS_1', 'HpaX'",1
'MHB',1
'MNHE',1
'MOSC',1
"'MOSC', '3-alpha'",1
'MPAB_Lcp_cat',1
"'MTES_1575', 'AbiEi_1'",1
'Metal_hydrol',1
"'Mannitol_dh_C', 'Mannitol_dh'",1
'MaoC_dehydratas',1
"'MarR', 'padR_acidobact', 'GntR'",1
"'MarR_2', 'MarR'",1
"'MarR_2', 'Sulfolobus_pRN'",1
'MbtH',1
'MerR_1',1
"'MerR_1', 'MerD'",1
"'NDH_I_L', 'NDH_I_M', 'Proton_antipo_N'",1
'NDH_I_N',1
'Fer4_6',1
"'NQR2_RnfD_RnfE', 'NAD_binding_1'",1
"'PEP_resp_reg', 'ntrC', 'HTH_30', 'Sigma54_activ_2', 'HTH_50'",1
"'PEP_resp_reg', 'propionate_PrpR', 'HTH_30', 'HTH_50', 'AAA_22'",1
'PGPGW',1
'PHA_depoly_arom',1
'PHA_synth_I',1
"'PHA_synth_I', 'PHBC_N'",1
"'PQ-loop', 'MtN3_slv', 'SPC12'",1
'PS_I_psaM',1
'P_acnes_RR',1
"'PaaB1', 'ECH_2'",1
'PaaX_trns_reg',1
'Paired_CXXCH_1',1
"'ParA', 'OrfB_Zn_ribbon'",1
'Peptidase_M14',1
"'Peptidase_M14', 'CBM_6'",1
"'Peptidase_M48', 'DUF4010'",1
'Peptidase_S11',1
'Peptidase_S58',1
"'Peptidase_S66', 'DUF4031', 'Peptidase_S66C', 'DUF5073'",1
"'PEP_resp_reg', 'ntrC', 'HTH_30', 'HTH_28', 'HTH_20'",1
"'PEP_resp_reg', 'Sigma54_activ_2', 'AAA_22', 'HTH_23'",1
'PEP_his_kin',1
'OrfB_IS605',1
"'NUDIX', 'Rad50_zn_hook'",1
"'NUDIX', 'mutt', 'NYN_YacP'",1
'Ni_insertion',1
'NmrA',1
"'Nterm_IS4', 'DDE_Tnp_1', 'DUF6374'",1
'OAFO_sf',1
"'OB_aCoA_assoc', 'DUF35_N'",1
'OpuAC',1
'OsmC',1
'PE',1
'Oxidored_FMN',1
'Oxidored_q3',1
"'P450_rel_GT_act', 'P450_cycloAA_1'",1
'PA-IIL',1
'PALP',1
'PASTA',1
"'PAS_4', 'HisKA', 'DivIC'",1
'PDGLE',1
"'Lipase_GDSL_2', 'HTH_31'",1
'Lipase_GDSL_2',1
'Ldh_2',1
'Laminin_II',1
'GerE',1
"'GerE', 'AAA_22', 'TPR_19', 'AAA_16', 'NB-ARC', 'TPR_2'",1
"'GerE', 'HTH_10'",1
"'GerE', 'Response_reg', 'HTH_38'",1
'Glyco_hydro_12',1
"'Glyco_hydro_2_C', 'Bgal_small_N', 'LacZ_4', 'Glyco_hydro_2'",1
"'Glyco_hydro_92', 'Glyco_hydro_92N', 'F5_F8_type_C', 'TraW_N'",1
'Glycolytic',1
"'Glyoxalase', 'Glyoxalase_4'",1
"'Glyoxalase', 'Glyoxalase_6'",1
'Glyoxalase_6',1
"'GntR', 'HTH_5', 'TrmB', 'HTH_Crp_2'",1
"'GreA_GreB', 'GreA_GreB_N'",1
'HAD',1
'HATPase_c_2',1
"'HD', 'Phn-HD'",1
"'HD', 'sCache_3_2'",1
'HIBADH',1
"'HNH_5', 'zf-RVT'",1
'GSP_synth',1
"'GSHPx', 'gpx7'",1
