domains,counts
'Thioesterase',4
'Thiolase_N',4
'ccpA',4
"'efflux_EmrB', 'MFS_1'",4
"'AAA_5', '26Sp45'",4
"'mycofact_TetR', 'HTH_7'",4
"'mycofact_TetR', 'TetR_C_14'",4
'pimC_large',4
'4HBT_2',4
'4HBT',4
'proV',4
'pucE',4
'recomb_XerC',4
'2A0121',4
'sda_mono',4
'sixA',4
'xylG',4
'Rce1-like',4
"'Transp_cyt_pur', 'thia_cytX'",4
"'MmgE_PrpD', 'MmgE_PrpD_C'",4
'Pyridox_ox_2',4
'Amino_oxidase',4
'PIN',4
'Hva1_TUDOR',3
'LssY_C',3
'DoxX',3
'nico',3
"'mycofact_rSAM', 'rSAM_BlsE'",3
"'mycofact_rSAM', 'SCM_rSAM_ScmE'",3
"'EAL', 'GGDEF'",3
"'mycofact_TetR', 'HTH_29'",3
'menE',3
'heli_sec_ATPase',3
'fkbM_fam',3
'ntrB',3
'fabH',3
'Lipase_GDSL_2',3
'drrB',3
'cztR_silR_copR',3
'crcB',3
'PNTB',3
'catechol_dmpE',3
'caca2',3
'betaine_BetI',3
'DinB_2',3
'p450',3
"'DUF952', 'Acetyltransf_1', 'Acetyltransf_6'",3
'FMO-like',3
"'Methyltransf_25', 'BioC'",3
'tartro_sem_red',3
'MPAB_Lcp_cat',3
'DUF1059',3
'MMPL',3
"'MLTR_LBD', 'HTH_31'",3
'pyruv_oxi_spxB',3
"'MmgE_PrpD_C', 'MmgE_PrpD'",3
'DUF2614',3
'DUF3293',3
'NTP_transf_9',3
'pntA',3
'pimD_small',3
'DUF4242',3
"'LysR_substrate', 'HTH_5'",3
'DUF6286',3
'DUF6358',3
"'OB_aCoA_assoc', 'DUF35_N'",3
'Oxidored_q2',3
'pbp2_mrdA',3
"'DUF952', 'Acetyltransf_1'",3
"'adh_short', 'dhbA_paeA'",3
"'adh_short', 'PHB_DH'",3
'HpnZ_proposed',3
'Stand_Alone_Lasso_RRE',3
'SoxH_rel_PQQ_2',3
'Pkinase',3
"'SnoaL_4', 'Lumazine_bd_2'",3
'SmpB',3
"'GxGYxYP_C', 'GxGYxYP_N'",3
"'SIP', 'FAD_binding_9'",3
"'SHOCT', 'Phage_holin_3_6'",3
'Pribosyltran',3
"'HTH_30', 'GGDEF_2'",3
"'HxlR', 'HTH_20'",3
'SBP_bac_8',3
"'SBP_bac_5', 'TAT_signal'",3
"'Rv0697', 'betA'",3
"'HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'HTH_Tnp_ISL3'",3
'Ribosomal_L31',3
'Rhodanese',3
"'Response_reg', 'GerE', 'Trans_reg_C'",3
"'Response_reg', 'GerE', 'HTH_10'",3
'ROK',3
'HpaR',3
'HpcH_HpaI',3
'SoxR',3
"'Glyco_hydro_15', 'TREH_N'",3
"'adh_short', 'LPOR'",3
'PhnT2',3
'FeS_nifS',3
'acyl_WS_DGAT',3
'Fer2',3
'acolac_lg',3
"'XdhC_C', 'XdhC_CoxI'",3
"'VWA_CoxE', 'fvmX3'",3
"'Fer4_9', 'Fer4', 'RLI'",3
"'VWA_2', 'marine_srt_targ', 'DUF2201'",3
"'VWA_2', 'marine_srt_targ', 'CobT_C'",3
'VWA',3
'Uma2',3
"'GAF', 'GAF_2'",3
"'Methyltransf_11', 'Methyltransf_25'",3
'LPXTG_anchor',3
'PP-binding',3
"'Tex_N', 'Tex_YqgF', 'HHH_3', 'HHH_9', 'S1', 'HHH_6', 'TOBE_2'",3
'PaaN-DH',3
"'Peripla_BP_3', 'HTH_23'",3
'Phage_integrase',3
'TetR_C_31',3
'PhdYeFM_antitox',3
'DHPS',3
'zwf',3
'CSD',3
'ABC2_membrane_3',3
'B4_12hDH',3
'CpaE_hom_Actino',3
"'AAA_5', 'RuvB_N'",3
'CbtA',3
"'AAA_5', 'Cob-chelat-sub'",3
'ATP-grasp_4',3
'CutC',3
"'AA-adenyl-dom', 'AMP-binding', 'Condensation', 'alpha_am_amid', 'PP-binding', 'Thioesterase'",3
'Cupin_3',3
"'AAA_5', 'SelP_N'",3
"'AA-adenyl-dom', 'Condensation', 'AMP-binding', 'alpha_am_amid', 'PP-binding'",3
"'CYP450_TxtE', 'P450_rel_GT_act'",3
"'AraC_binding_2', 'HTH_AraC'",3
'Acyl_transf_3',3
'CMD',3
'DAO',3
'SNF',2
'HAD-SF-IB-hyp1',2
"'GntR', 'HTH_Crp_2'",2
"'mycofact_TetR', 'DUF2934'",2
"'mycofact_TetR', 'Co_AT_N'",2
'SSADH',2
'SRAP',2
'MFS_3',2
'MGT',2
'acr3',2
'ACC_epsilon',2
'mycoS_dep_FDH',2
'CoA_trans',2
"'TetR_C_24', 'TetR_N'",2
'Cob-chelat-sub',2
"'AraC_binding_2', 'HTH_18'",2
"'GntR', 'DUF6074'",2
'Esterase_PHB',2
'ligK_PcmE',2
'FAA_hydrolase',2
'isocit_lyase',2
"'Mycofactocin_RRE', 'mycofact_MftB'",2
'N-Ac-Glu-synth',2
"'Glyoxalase_6', 'Pox_RNA_pol_35'",2
"'N6_N4_Mtase', 'KCNQ2_u3'",2
'lao',2
'NAD_binding_10',2
'lipA',2
"'adh_short', 'ADH_zinc_N'",2
"'SigBFG', 'Sig-70_plancto1'",2
'F420_MSMEG_2906',2
"'MLTR_LBD', 'HTH_3'",2
'matE',2
'SfLAP',2
"'adh_short', 'Epimerase'",2
"'adh_short', 'AcAcCoA_reduct'",2
'Clp_N',2
'ApbE',2
'ECF_T_CbiQ',2
"'NUDIX', 'DZR'",2
"'TetR_N', 'RelB'",2
'Dabb',2
"'TetR_N', 'HTH_IclR'",2
'DUF998',2
'YCII',2
'CsbD',2
"'AA-adenyl-dom', 'Condensation', 'alpha_am_amid', 'ligase_PEP_1', 'PP-binding'",2
'DUF899',2
"'HTH_18', 'DUF6597'",2
'Lsr2',2
'OB_aCoA_assoc',2
'DUF732',2
'DUF72',2
'Oxidored_FMN',2
"'mycofact_rSAM', 'rSAM_for_selen'",2
"'mycofact_rSAM', 'rad_SAM_trio'",2
'Aminotran_1_2',2
"'HTH_20', 'HTH_24'",2
'Whib',2
'DapE-ArgE',2
"'TetR_N', 'HTH_7'",2
"'ECH_1', 'badI'",2
"'mycofact_TetR', 'MerR'",2
'aceE',2
"'SHOCT', 'cytochro_ccmI'",2
"'NUDIX', 'Rad50_zn_hook'",2
'Glyoxalase_4',2
'ABC_ABC_ChvD',2
'ac_ald_DH_ac',2
'Condensation',2
'Na_H_Exchanger',2
"'SHOCT', 'S_4TM'",2
'YjbR',2
'ac_ac_CoA_syn',2
'Cons_hypoth698',2
'Ni_hydr_CYTB',2
"'mycofact_TetR', 'TetR_N', 'HTH_23'",2
'YoeB_toxin',2
'Nitroreductase',2
'HEAT_2',2
"'mycofact_glyco', 'Methyltransf_23'",2
"'adh_short', 'RhaD_aldol-ADH'",2
"'FAD_binding_3', 'NAD_binding_8'",2
"'TetR_C_11', 'TetR_N'",2
"'AAA_5', 'AAA_16'",2
"'drrB', 'ABC2_membrane'",2
'Fructosamin_kin',2
'FrhG',2
'FmdA_AmdA',2
'T7SS_Rv3446c',2
'bchO_mg_che_rel',2
"'AAA_5', 'AAA_18'",2
"'Ferric_reduct', 'PA_CoA_Oxy5'",2
"'efflux_EmrB', '2_A_01_02'",2
'MaAIMP_sms',2
'WXG100',2
'Methyltransf_23',2
'T2SSF',2
"'MTES_1575', 'AbiEi_4'",2
"'MTES_1575', 'AbiEi_1'",2
"'Fer4_2', 'Fer4', 'zf-C2H2_11'",2
"'Fer4_2', 'Fer4', 'aprB'",2
"'AsnC_trans_reg', 'HTH_AsnC-type'",2
'TauD',2
'Fer4_2',2
"'Methyltransf_11', 'Methyltransf_12'",2
"'GerE', 'GAF_2'",2
'dhaK1',2
'TIGR00268',2
'cbbX_cfxQ',2
"'MarR_2', 'HTH_IclR', 'MerR', 'HTH_Crp_2'",2
"'GMC_oxred_C', 'GMC_mycofac_2'",2
'MerR_1',2
"'TMAO_torS', 'HAMP', 'DUF883'",2
"'AAA_5', 'AAA_3'",2
"'GG-red-SF', 'Se_ygfK'",2
"'MerR_1', 'MerR'",2
'Metallophos',2
'TPR_16',2
"'GSHPx', 'gpx7'",2
'Caa3_CtaG',2
'TIGR03086',2
'GCV_T',2
'TIGR02246',2
"'GAF', 'Trans_reg_C'",2
'cztS_silS_copS',2
"'biphenyl_bphD', 'pro_imino_pep_2'",2
'bioA',2
"'Methyltransf_25', 'MenG_heptapren'",2
'CbiM',2
"'Fer4_13', 'Fer4_6', 'Fer4_2'",2
'FMN_reduc_MsuE',2
'MOSC',2
'FIST',2
'ahcY',2
'AAA_33',2
'Glycolytic',2
'FCD',2
'glycerol_kin',2
"'AAA_5', 'MCM', 'AAA_30'",2
'FAD_oxidored',2
'Chorion_S16',2
'AI-2E_transport',2
'SnoaL_4',2
'MM_CoA_mutase',2
'MucB_RseB_C',2
'MMSDH',2
"'FAD_binding_3', 'Ubi-OHases'",2
'heterocyst_DevA',2
'hi_GC_TIGR00026',2
"'FAD_binding_3', 'Se_ygfK'",2
'FMN_nitrolo',2
"'TetR_C_1', 'DUF6457'",2
"'Fer4_13', 'Fer4_6', 'Fer4', 'Fer4_2'",2
'glcD',2
"'Fer4_13', 'Fer4_6'",2
'TauE',2
'Sulf_transp',2
"'Fer4', 'Fer4_2'",2
"'Methyltransf_25', 'TIGR00091'",2
'AGP_acyltrn',2
'SsuA_fam',2
"'gas_vesic_GvpN', 'AAA_5'",2
"'FeFe_hydrog_B1', 'Fer4'",2
"'gas_vesic_GvpN', 'Mg_chelatase'",2
'ant_ant_sig',2
'Fdhalpha-like',2
"'ArsA_ATPase', 'ArsA_HSP20'",2
"'Arabinose_Isome', 'Arabinose_Iso_C'",2
'MnhB',2
'amidohydrolases',2
"'SpoIIE', 'GAF_2'",2
'FUR',2
'gcvT',2
'SCP2',2
'hemL',2
'Band_7',2
'2a6301s01',2
'DUF4097',2
'DUF1648',2
"'VWA_2', 'VWA_CoxE'",2
"'VWA_2', 'CobT_C'",2
'DUF1656',2
"'VWA_2', 'Cob-chelat-sub', 'marine_srt_targ'",2
"'2a6301s01', 'Proton_antipo_M'",2
'DUF3887',2
'ptsS_2',2
"'TetR_N', 'mycofact_TetR', 'RelB'",2
"'HTH_AsnC-type', 'MarR', 'Sigma70_r4', 'TrmB'",2
'Acetyltransf_6',2
"'HisKA_3', 'GAF_2', 'DUF2604'",2
'Inhibitor_I36',2
"'TetR_N', 'mycofact_TetR', 'betaine_BetI'",2
'rluA_subfam',2
"'HisKA_3', 'GAF_2', 'GAF_3'",2
"'P_acnes_RR', 'TAT_signal_seq'",2
'DUF4386',2
'CBS',2
'DUF4381',2
'udk',2
'2A0114',2
'potA',2
"'DUF1254', 'DUF1214'",2
'Ring_hydroxyl_B',2
"'Acyl-CoA_dh_2', 'sulfur_SfnB', 'Acyl-CoA_dh_1'",2
'DUF4232',2
'DUF4131',2
'DUF4191',2
"'DUF4190', 'Septum_form'",2
'trehalose_treC',2
'DUF1524',2
"'TetR_N', 'mycofact_TetR', 'DprA_WH'",2
"'HTH_AsnC-type', 'MarR'",2
"'Ribonuc_L-PSP', 'RutC'",2
'Bax1-I',2
"'Response_reg', 'GerE', 'HTH_24'",2
'DUF347',2
'UBA_4',2
'RPE65',2
"'Pyr_redox_3', 'Pyr_redox_2'",2
"'ROK', 'MarR_2'",2
"'Acyl-CoA_dh_C', 'Acyl-CoA_dh_1', 'Acyl-CoA_dh_M', 'AcylCoA_DH_N', 'Acyl-CoA_dh_N'",2
"'Hydrolase_4', 'Abhydrolase_6'",2
'Acetyltransf_3',2
'CydD',2
'Acetyltransf_5',2
'rplD_bact',2
'HisKA',2
"'Peripla_BP_2', 'TAT_signal'",2
'RHH_1',2
'sigma70-ECF',2
"'Peripla_BP_2', 'LPAM_2'",2
'sigpep_I_arch',2
'Hydrolase_3',2
'Ran-binding',2
'UPF0225',2
'TgpA_N',2
'HbpS-like',2
"'Tex_N', 'Tex_YqgF', 'HHH_3', 'HHH_9', 'S1', 'HHH_6'",2
'PepSY_TM',2
'Cyclase',2
'ThiS',2
'2TM',2
"'AAA_5', 'bpMoxR'",2
"'Pyr_redox_3', 'NAD_binding_8'",2
"'HisKA_3', 'DUF3369'",2
"'2-Hacid_dh_C', 'NAD_binding_2'",2
'RelA_SpoT',2
'INV_N',2
'Peripla_BP_4',2
"'IMS', 'DNA_pol_lambd_f'",2
'DUF3040',2
"'HisKA_3', 'DUF2604'",2
'Putative_PNPOx',2
'Pyridoxal_deC',2
"'VWA_CoxE', 'Cm_res_leader'",2
"'VWA_CoxE', 'Spectrin'",2
"'Acyl-CoA_dh_1', 'Acyl-CoA_dh_N'",2
"'TetR_N', 'TetR_C_20'",2
"'AAA_5', 'Sigma54_activ_2', '26Sp45'",2
"'HisKA_3', 'LD_lanti_pre'",2
'PhoB',2
'HTH_30',2
'DUF6131',2
'oxido_grp_1',2
'pcaJ_scoB_fam',2
'DHquinase_II',2
"'SBD_N', 'NBD_C'",2
"'Acyl-CoA_dh_1', 'Acyl-CoA_dh_N', 'Acyl-CoA_dh_M'",2
'DJC28_CD',2
'DLH',2
"'Beta_helix', 'NosD_copper_fam'",2
'HpaI',2
'DUF6232',2
"'Transket_pyr', 'Transketolase_C'",2
"'TetR_N', 'TetR_C_16'",2
'Ldh_2',2
'Transgly_assoc',2
"'AA-adenyl-dom', 'Condensation', 'alpha_am_amid'",2
'PAP2',2
'DUF6403',2
"'TetR_N', 'TetR_C_1'",2
"'Cupin_6', 'HTH_18'",2
'PASTA',2
"'Acyl-CoA_dh_1', 'Acyl-CoA_dh_M'",2
'HTH_3',2
"'HTH_3', 'Cupin_2'",2
'PDGLE',2
'PorB_KorB',2
'ntrC',2
'PDH_E1_alph_x',2
"'Acyl-CoA_dh_1', 'Acyl-CoA_dh_M', 'Acyl-CoA_dh_N'",2
"'TetR_N', 'TetR_C_29'",2
'SAICAR_synt',2
'DUF5134',2
"'phoR_proteo', 'sensory_box', 'DivIC'",2
"'VWA_CoxE', 'DUF6415'",2
'AA_permease',2
'DUF520',2
'urea_trans_UrtE',2
'Abhydrolase_10',2
'phn_lysR',2
'DNA_binding_1',2
'4OH_2_O_val_ald',2
"'VWA_CoxE', 'DUF2201'",2
'HTH_42',2
"'DUF559', 'AbiEi_1'",2
"'urea_trans_UrtD', 'BPD_transp_2'",2
'LPMO_10',2
'PHA_depoly_arom',2
'RuBisCO_small',2
"'Abhydrolase_1', 'protocat_pcaD'",2
'pcrA',2
'LPOR',2
"'Rubredoxin', 'Rubredoxin_2', 'zinc_ribbon_10', 'zinc_ribbon_2'",2
"'pcaR_pcaU', 'HTH_5'",2
'4HBT_3',2
"'phoR_proteo', 'sensory_box'",2
"'TOMM_kin_cyc', 'GerE'",1
'ADC',1
"'TPR_9', 'DUF6013'",1
'Tmemb_185A',1
'Tic110',1
'ThuA',1
"'TPR_MalT', 'CxxCG_CxxCG_HTH', 'TPR_8', 'HTH_31'",1
"'TSP_3', 'Dockerin_1', 'TSP3_bac'",1
'TPR_2',1
'Tombus_P33',1
'TPR_12',1
"'Trans_reg_C', '3HCDH_RFF'",1
'TTC',1
'ThrE',1
'TarH',1
"'TPR_12', 'TPR_1', 'NB-ARC', 'CD20'",1
'TPR_14',1
"'AAA_5', 'chaperone_ClpB', 'CbbQ_C'",1
"'AAA_5', 'chaperone_ClpB', 'AAA_18', 'CbbQ_C', 'SelP_N'",1
"'AAA_5', 'chaperone_ClpB', 'AAA_18'",1
'TraG-D_C',1
"'TarH', 'formate_TAT'",1
"'TPR_MalT', 'HTH_3'",1
"'TetR_N', 'RutR', 'TetR_C_31'",1
'Tautomerase',1
"'TetR_N', 'HTH_11'",1
"'AAA_5', 'gas_vesic_GvpN', 'chaperone_ClpB'",1
"'TetR_C_31', 'HARE-HTH'",1
'ABC_choXWV_perm',1
"'TetR_C_33', 'TetR_N'",1
"'AAA_5', 'spore_lonB', 'AAA_lid_2'",1
"'TetR_C_35', 'TetR_N', 'HTH_23'",1
"'TetR_C_35', 'TetR_N', 'HTH_AsnC-type'",1
'TetR_C_6',1
"'TetR_C_8', 'DHAK_reg'",1
"'TetR_N', 'TetR_C_32', 'TetR_C_14'",1
'ABATE',1
"'TetR_N', 'AAA_8', 'MoaE'",1
"'TetR_N', 'ACT_3'",1
"'TetR_N', 'DprA_WH'",1
"'TetR_N', 'TetR_C_24', 'HTH_AsnC-type'",1
"'ThiF', 'Prok-E2_B'",1
"'TetR_N', 'TetR_C_24', 'HTH_AraC'",1
"'TetR_N', 'HTH_11', 'VWA_3'",1
"'TetR_N', 'TetR_C_24', 'HTH_23'",1
"'TetR_N', 'HTH_AsnC-type'",1
'ABC2_membrane',1
"'TetR_N', 'HTH_IclR', 'LacI'",1
"'TetR_N', 'LacI'",1
'TOMM_kin_cyc',1
"'TetR_N', 'TetR_C_13'",1
"'TetR_N', 'MarR_2', 'TetR_C_29'",1
"'TetR_N', 'RHH_4'",1
"'TetR_N', 'TetR_C_11', 'HTH_29'",1
"'ABC2_membrane', 'phenyl_ABC_PedC'",1
"'TetR_N', 'RutR', 'TrmB'",1
"'TetR_N', 'TetR_C_6', 'TetR_C_11'",1
"'TetR_C_24', 'TetR_N', 'HTH_24'",1
"'TetR_N', 'TipAS'",1
"'TetR_N', 'Ubiq_cyt_C_chap', 'TetR_C_15'",1
'TctA',1
'TctB',1
'TctC',1
'ThiF',1
"'ACT', 'ACT_4'",1
'Tex_YqgF',1
"'TetR_C_1', 'MarR_2', 'HTH_24'",1
"'Tex_N', 'Tex_YqgF', 'HHH_3', 'HHH_9', 'S1', 'TOBE_2'",1
'ACT',1
"'AAA_5', 'chaperone_ClpB', 'CbbQ_C', 'SelP_N'",1
"'TetR_C_1', 'TetR_N', 'HTH_24'",1
'TetR_C_11',1
"'TetR_N', 'mycofact_TetR', 'kleA_kleC'",1
"'TetR_C_11', 'HTH_IclR'",1
"'TetR_N', 'mycofact_TetR', 'TetR_C_15', 'LacI'",1
"'TetR_N', 'RutR', 'TetR_C_11'",1
"'TetR_C_11', 'TetR_N', 'HTH_IclR'",1
"'TetR_N', 'mycofact_TetR', 'HTH_IclR', 'LacI'",1
"'TetR_N', 'mycofact_TetR', 'HTH_8'",1
'ACPS',1
"'AAA_5', 'fruc_bis_ald_'",1
"'TetR_N', 'betaine_BetI', 'TetR_C_31'",1
"'TetR_N', 'betaine_BetI', 'TetR_C_11'",1
"'TetR_C_24', 'HTH_23', 'HTH_AsnC-type'",1
"'TetR_N', 'betaine_BetI', 'RelB'",1
"'TetR_N', 'betaine_BetI', 'Radical_SAM_N2'",1
"'TetR_N', 'betaine_BetI', 'HTH_5'",1
"'TetR_N', 'betaine_BetI', 'HTH_23'",1
"'AAA_5', 'gas_vesic_GvpN', 'MCM', 'BchI-ChlI', 'AAA_30'",1
"'TetR_N', 'LacI', 'HTH_23', 'TetR_C_11'",1
"'DAP_DH_C', 'dapB'",1
'TOBE_2',1
'Abhydrolase_2',1
"'Rxyl_3153', 'zf_UBZ'",1
"'Abhydrolase_1', 'Abhydrolase_6', 'FAD_binding_2'",1
"'Abhydrolase_1', 'menH_SHCHC'",1
"'Rv0697', 'PCDO_beta_N'",1
"'Rv0697', 'NAD_binding_8'",1
"'Rubredoxin', 'zf-RanBP', 'zf-C2H2', 'Rubredoxin_2', 'UPF0547'",1
"'Rubredoxin', 'PHD_4', 'zf-C2H2'",1
'RuMP_HxlA',1
"'RuBisCO_large', 'RuBisCO_large_N'",1
'Rsm22',1
'Rrf2',1
"'AbiEi_1', 'DUF6003'",1
'RraA-like',1
"'Rotamase_3', 'SurA_N_3', 'Trigger_C'",1
'Rieske',1
"'Ricin_B_lectin', 'selen_ocin'",1
"'Ricin_B_lectin', 'Cellulase'",1
'Ricin_B_lectin',1
'Ribosomal_S9',1
'Ribosomal_L4',1
'Ribosomal_L36',1
'AbiEi_1',1
'S-methyl_trans',1
'S4_2',1
"'SAM_DCase_Bsu', 'speE'",1
"'SBF_like', 'Acetyltransf_1'",1
'SDH_alpha',1
'SCP_3',1
"'SCP2', 'Alkyl_sulf_C'",1
"'SCM_rSAM_ScmF', 'rSAM_Geo_metal'",1
'SCM_rSAM_ScmE',1
'SCFA_trans',1
"'SCF', 'EMP70'",1
'SCF',1
"'ATPase-IB_hvy', 'HMA', 'ATPase-Plipid'",1
'SBP_bac_6',1
"'SBP_bac_5', 'YqfQ', 'K_channel_TID'",1
"'SBP_bac_5', 'TAT_signal', 'TAT_signal_seq'",1
"'ATPase-IB_hvy', 'HMA', 'YkpC'",1
'ATPgrasp_YheCD',1
'SBP_bac_3',1
'SBP_bac_11',1
"'SBP_bac_1', 'chitin_NgcE'",1
"'SBP_bac_1', 'TAT_signal'",1
"'SBP_bac_1', 'SBP_bac_8', 'chitin_NgcE', 'TAT_signal'",1
'SBP_bac_1',1
'SBP_KPN_01854',1
'Ribosomal_L30_N',1
"'AbiEi_4', 'AbiEi_1'",1
'TOBE',1
'PvlArgDC',1
"'Pyr_redox_3', 'NAD_binding_9'",1
"'Pyr_redox_3', 'NAD_binding_8', 'sms'",1
'Pyr_redox_3',1
"'Pyr_redox_2', 'Ubi-OHases'",1
"'Pyr_redox_2', 'TIGR00292'",1
"'Pyr_redox_2', 'Reductase_C', 'TRX_reduct'",1
