,prot_1,prot_2,counts
141,Rxyl_3153,Mycofactocin_RRE,65
142,mycofact_rSAM,HTH_AsnC-type,65
143,VWA_CoxE,HisKA_3,65
144,NDMA_methanol,mycofact_creat,64
145,Glyoxalase_6,mycofactocin,64
146,Rxyl_3153,mycofactocin,64
147,Glyoxalase_6,mycofact_TetR,64
148,GerE,mycofact_creat,63
149,NDMA_methanol,GerE,63
150,Rxyl_3153,mycofact_rSAM,63
151,Glyoxalase_6,Mycofactocin_RRE,63
152,actino_HemFlav,Response_reg,63
153,efflux_EmrB,Rv0697,62
154,Methyltransf_11,actino_HemFlav,62
155,NDMA_methanol,Response_reg,61
156,mycofact_TetR,AAA_5,61
157,actino_HemFlav,HTH_AsnC-type,60
158,Glyoxalase_6,mycofact_rSAM,60
159,AAA_5,GerE,60
160,VWA_CoxE,Fe-ADH,59
161,AAA_5,Response_reg,59
162,mycofact_glyco,PA_CoA_Oxy5,59
163,mycofact_glyco,Response_reg,59
164,mycofact_TetR,HTH_AsnC-type,59
165,mycofact_glyco,HTH_AsnC-type,58
166,NDMA_methanol,HisKA_3,58
167,Response_reg,mycofact_creat,57
168,AAA_5,HisKA_3,57
169,Glyoxalase_6,actino_HemFlav,57
170,CoA_transf_3,mycofact_rSAM,57
171,GerE,Methyltransf_11,57
172,mycofact_creat,HTH_AsnC-type,56
173,CoA_transf_3,mycofactocin,56
174,PA_CoA_Oxy5,Pyr_redox_2,56
175,Glyoxalase_6,mycofact_glyco,56
176,Glyoxalase_6,mycofact_creat,55
177,Pyr_redox_2,Glyoxalase_6,54
178,actino_HemFlav,HisKA_3,54
179,efflux_EmrB,Pyr_redox_2,54
180,mycofact_creat,PA_CoA_Oxy5,54
181,ETF_alpha,mycofactocin,54
182,SDR_subfam_1,PA_CoA_Oxy5,54
183,CoA_transf_3,actino_HemFlav,53
184,ETF_alpha,Mycofactocin_RRE,53
185,Glyoxalase_6,Rv0697,53
186,Rv0697,HTH_AsnC-type,53
187,CoA_transf_3,Mycofactocin_RRE,53
188,Sig70_famx2,mycofact_TetR,52
189,mycofactocin,DNA_alkylation,52
190,Sig70_famx2,mycofactocin,52
191,Glyoxalase_6,Sig70_famx2,52
192,Sig70_famx2,Mycofactocin_RRE,52
193,mycofact_rSAM,DNA_alkylation,52
194,Mycofactocin_RRE,DNA_alkylation,51
195,ETF_alpha,mycofact_OYE_2,51
196,Aldedh,mycofactocin,51
197,ETF_alpha,mycofact_rSAM,51
198,PA_CoA_Oxy5,DNA_alkylation,51
199,NDMA_methanol,actino_HemFlav,50
200,Sig70_famx2,mycofact_rSAM,50
201,DNA_alkylation,mycofact_TetR,50
202,GG-red-SF,ETF_alpha,50
203,mycofact_glyco,HisKA_3,50
204,CoA_transf_3,mycofact_TetR,50
205,GG-red-SF,mycofactocin,50
206,Sig70_famx2,actino_HemFlav,50
207,Pyr_redox_2,Sig70_famx2,49
208,NDMA_methanol,Fe-ADH,49
209,Pyr_redox_2,HTH_AsnC-type,49
210,GG-red-SF,mycofact_OYE_2,49
211,mycofact_glyco,CYP450_TxtE,49
212,actino_HemFlav,CYP450_TxtE,49
213,Sig70_famx2,Rv0697,49
214,Sig70_famx2,mycofact_glyco,49
215,Response_reg,Methyltransf_11,49
216,mycofact_creat,CoA_transf_3,49
217,HisKA_3,mycofact_creat,49
218,GG-red-SF,Mycofactocin_RRE,49
219,Sig70_famx2,mycofact_creat,48
220,AAA_5,Fe-ADH,48
221,Aldedh,Mycofactocin_RRE,48
222,mycofact_rSAM,CYP450_TxtE,48
223,Aldedh,mycofact_rSAM,48
224,HisKA_3,Methyltransf_11,47
225,mycofactocin,CYP450_TxtE,47
226,mycofact_TetR,CYP450_TxtE,47
227,Rv0697,CYP450_TxtE,47
228,PA_CoA_Oxy5,TetR_N,47
229,Mycofactocin_RRE,CYP450_TxtE,47
230,GG-red-SF,mycofact_rSAM,47
231,actino_HemFlav,Fe-ADH,46
232,mycofactocin,MarR,46
233,TetR_N,Glyoxalase_6,46
234,mycofact_glyco,CoA_transf_3,46
235,Mycofactocin_RRE,MarR,45
236,Pyr_redox_2,CYP450_TxtE,45
237,Methyltransf_11,VWA_CoxE,45
238,Methyltransf_11,AAA_5,45
239,mycofact_creat,CYP450_TxtE,45
240,AMP-binding,mycofactocin,45
241,Rxyl_3153,actino_HemFlav,45
242,mycofact_glyco,Fe-ADH,44
243,DNA_alkylation,Pyr_redox_2,44
244,Mycofactocin_RRE,adh_short_C2,44
245,VWA_CoxE,SDR_subfam_2,44
246,mycofactocin,adh_short_C2,44
247,DUF2332,mycofactocin,44
248,mycofact_rSAM,MarR,44
249,AMP-binding,Mycofactocin_RRE,44
250,Fer4,mycofactocin,43
251,Fer4,Mycofactocin_RRE,43
252,efflux_EmrB,Reductase_C,43
253,mycofactocin,DDAH_eukar,43
254,mycofact_rSAM,adh_short_C2,43
255,DUF2332,mycofact_TetR,43
256,Rxyl_3153,mycofact_glyco,43
257,Pyr_redox_2,DDAH_eukar,43
258,TetR_N,TetR_C_11,42
259,TetR_N,HTH_AsnC-type,42
260,mycofact_TetR,DDAH_eukar,42
261,Rxyl_3153,mycofact_TetR,42
262,DUF2332,Rv0697,42
263,DUF2332,Mycofactocin_RRE,42
264,GG-red-SF,ETF,42
265,DUF2332,actino_HemFlav,42
266,Fer4,mycofact_rSAM,42
267,DUF2332,mycofact_creat,42
268,DUF2332,mycofact_rSAM,42
269,DUF2332,mycofact_glyco,42
270,AMP-binding,mycofact_rSAM,42
271,actino_HemFlav,DDAH_eukar,41
272,TetR_C_11,mycofactocin,41
273,Aldedh,actino_HemFlav,41
274,GMC_mycofac_2,mycofact_rSAM,41
275,TetR_N,Sig70_famx2,41
276,mycofact_glyco,DNA_alkylation,41
277,Methyltransf_25,mycofactocin,41
278,Mycofactocin_RRE,DDAH_eukar,41
279,Methyltransf_11,NDMA_methanol,41
280,GMC_mycofac_2,actino_HemFlav,41
281,mycofact_TetR,MarR,41
282,TetR_C_11,mycofact_rSAM,41
283,mycofact_glyco,mycofact_OYE_2,41
284,Methyltransf_25,Mycofactocin_RRE,41
285,Aldedh,mycofact_glyco,41
286,mycofact_glyco,MarR,40
287,GMC_mycofac_2,mycofact_glyco,40
288,HTH_23,Mycofactocin_RRE,40
289,Methyltransf_25,mycofact_rSAM,40
290,HTH_23,mycofactocin,40
291,actino_HemFlav,MarR,40
292,mft_etfB,mycofactocin,40
293,Fe-ADH,Methyltransf_11,40
294,TetR_C_11,Mycofactocin_RRE,40
295,Rxyl_3153,mycofact_creat,40
296,GMC_mycofac_2,mycofact_creat,40
297,actino_HemFlav,DNA_alkylation,40
298,HTH_AsnC-type,DDAH_eukar,40
299,mycofact_creat,Aldedh,40
300,GMC_mycofac_2,mycofactocin,40
301,TetR_N,CYP450_TxtE,40
302,mycofact_rSAM,DDAH_eukar,40
303,TetR_C_11,actino_HemFlav,40
304,efflux_EmrB,Glyoxalase_6,40
305,ETF,mycofact_rSAM,39
306,mft_etfB,ETF_alpha,39
307,ETF,mycofactocin,39
308,mycofact_creat,mycofact_OYE_2,39
309,mft_etfB,GG-red-SF,39
310,SDR_subfam_1,AAA_5,39
311,Reductase_C,Glyoxalase_6,39
312,Mycofactocin_RRE,VWA_2,39
313,ETF,Mycofactocin_RRE,39
314,Rv0697,DDAH_eukar,39
315,mycofactocin,VWA_2,39
316,mycofact_glyco,DDAH_eukar,39
317,TetR_C_11,mycofact_glyco,39
318,GMC_mycofac_2,mycofact_TetR,39
319,ETF_alpha,ETF,39
320,CoA_transf_3,SDR_subfam_1,39
321,Fer4_2,mycofactocin,39
322,GMC_mycofac_2,Mycofactocin_RRE,39
323,mft_etfB,Mycofactocin_RRE,39
324,mycofact_rSAM,VWA_2,38
325,CoA_transf_3,PA_CoA_Oxy5,38
326,Methyltransf_11,mycofact_creat,38
327,SDR_subfam_1,VWA_2,38
328,mycofact_glyco,Methyltransf_11,38
329,HTH_AsnC-type,MarR,38
330,Mycofactocin_RRE,adh_short,38
331,mycofact_creat,DDAH_eukar,38
332,Fer4_2,Mycofactocin_RRE,38
333,HTH_23,mycofact_rSAM,38
334,TetR_C_11,mycofact_TetR,37
335,TetR_C_11,mycofact_creat,37
336,Fe-ADH,mycofact_creat,37
337,efflux_EmrB,Sig70_famx2,37
338,Fer4_2,mycofact_rSAM,37
339,ETF_alpha,mycofact_OYE_1,37
340,mft_etfB,mycofact_rSAM,37
341,mycofact_TetR,VWA_2,37
342,ETF,mycofact_OYE_2,37
343,AMP-binding,AMP-binding_C,37
344,mycofactocin,adh_short,37
345,mycofact_rSAM,adh_short,37
346,AAA_5,SDR_subfam_2,37
347,mft_etfB,mycofact_OYE_2,37
348,Pyr_redox_2,MarR,36
349,Reductase_C,Sig70_famx2,36
350,mycofact_creat,MarR,36
351,Pyr_redox_2,DUF2332,36
352,Rv0697,MarR,36
353,actino_HemFlav,adh_short_C2,35
354,GG-red-SF,mycofact_OYE_1,35
355,Fer4,GG-red-SF,35
356,Fer4,ETF_alpha,35
357,mycofactocin,ECH_1,35
358,SDR_subfam_1,DNA_alkylation,35
359,Glyoxalase_6,HTH_AsnC-type,35
360,mycofactocin,AMP-binding_C,35
361,SDR_subfam_2,GerE,35
362,AMP-binding,mycofact_glyco,34
363,Reductase_C,HTH_AsnC-type,34
364,mycofact_rSAM,ECH_1,34
365,Mycofactocin_RRE,ECH_1,34
366,CoA_transf_3,Pyr_redox_2,34
367,Mycofactocin_RRE,AMP-binding_C,34
368,Fer4_2,Fer4,34
369,CYP450_TxtE,Glyoxalase_6,34
370,mycofact_creat,DNA_alkylation,34
371,VWA_CoxE,Methyltransf_25,34
372,SDR_subfam_1,efflux_EmrB,33
373,GMC_mycofac_2,SDR_subfam_1,33
374,mycofact_rSAM,AMP-binding_C,33
375,mycofactocin,Sigma70_r4,33
376,TetR_C_11,Rv0697,33
377,mft_etfB,mycofact_OYE_1,33
378,Pyrid_ox_like,mycofact_rSAM,33
379,Pyrid_ox_like,Mycofactocin_RRE,33
380,Sig70_famx2,HTH_AsnC-type,33
381,mycofact_TetR,Sigma70_r4,33
382,SDR_subfam_1,DUF2332,33
383,Fer4,mycofact_OYE_2,33
384,Pyrid_ox_like,mycofact_TetR,33
385,NDMA_methanol,SDR_subfam_2,33
386,Pyrid_ox_like,mycofactocin,33
387,PA_CoA_Oxy5,Reductase_C,33
388,GMC_mycofac_2,CoA_transf_3,32
389,mycofact_TetR,Orn_aminotrans,32
390,TetR_N,MarR,32
391,Mycofactocin_RRE,Sigma70_r4,32
392,Reductase_C,DUF2332,32
393,Glyoxalase_6,DDAH_eukar,32
394,mycofactocin,Orn_aminotrans,32
395,CYP450_TxtE,HTH_AsnC-type,32
396,TetR_N,DDAH_eukar,32
397,Methyltransf_11,mycofact_TetR,32
398,Pyr_redox_2,Orn_aminotrans,32
399,SPW,TetR_N,32
400,Peripla_BP_2,Mycofactocin_RRE,32
401,HTH_23,actino_HemFlav,32
402,NDMA_methanol,Methyltransf_25,32
403,Fer4_2,GG-red-SF,32
404,Fer4_2,ETF_alpha,32
405,mycofact_OYE_1,mycofact_creat,32
406,GerE,mycofact_TetR,32
407,Peripla_BP_2,mycofact_rSAM,31
408,CYP450_TxtE,Sig70_famx2,31
409,actino_HemFlav,Sigma70_r4,31
410,Mycofactocin_RRE,Orn_aminotrans,31
411,AAA_5,Methyltransf_25,31
412,AAA_5,VWA_2,31
413,HTH_AsnC-type,Orn_aminotrans,31
414,SDR_subfam_2,Response_reg,31
415,Reductase_C,DDAH_eukar,31
416,actino_HemFlav,Orn_aminotrans,31
417,SDR_subfam_1,mycofact_OYE_2,31
418,mycofact_rSAM,Orn_aminotrans,31
419,mycofact_rSAM,Sigma70_r4,31
420,HTH_AsnC-type,Sigma70_r4,31
421,mycofactocin,SHOCT,31
422,efflux_EmrB,HTH_AsnC-type,30
423,DDAH_eukar,MarR,30
424,CoA_transf_3,DNA_alkylation,30
425,Glyoxalase_6,MarR,30
426,Fer4_2,mycofact_OYE_2,30
427,mycofact_glyco,Sigma70_r4,30
428,Rv0697,Orn_aminotrans,30
429,MarR,Sigma70_r4,30
430,Peripla_BP_2,mycofactocin,30
431,Peripla_BP_2,mycofact_creat,30
432,GMC_mycofac_2,PA_CoA_Oxy5,30
433,mycofact_TetR,VWA_CoxE,30
434,Pyr_redox_2,Sigma70_r4,30
435,Methyltransf_25,mycofact_glyco,30
436,mycofact_glyco,SHOCT,30
437,Mycofactocin_RRE,SHOCT,30
438,cyc_hxne_CoA_dh,mycofactocin,30
439,FAD_binding_3,mycofactocin,30
440,FAD_binding_3,Mycofactocin_RRE,30
441,FAD_binding_3,mycofact_rSAM,30
442,mycofact_OYE_1,SDR_subfam_1,29
443,DDAH_eukar,Orn_aminotrans,29
444,mycofact_rSAM,MFS_1,29
445,cyc_hxne_CoA_dh,Mycofactocin_RRE,29
446,Methyltransf_25,GerE,29
447,cyc_hxne_CoA_dh,mycofact_rSAM,29
448,mycofact_rSAM,SHOCT,29
449,mycofact_creat,adh_short_C2,29
450,mycofactocin,MFS_1,29
451,Mycofactocin_RRE,MFS_1,29
452,mycofact_creat,Sigma70_r4,29
453,GAF,mycofactocin,29
454,mycofact_glyco,Orn_aminotrans,29
455,mycofact_creat,Orn_aminotrans,29
456,Peripla_BP_2,mycofact_TetR,29
457,TetR_C_11,Pyr_redox_2,29
458,HTH_23,mycofact_TetR,29
459,mft_etfB,ETF,29
460,mycofact_creat,SHOCT,29
461,CYP450_TxtE,efflux_EmrB,29
462,DUF2332,TetR_N,29
463,Fer4,mycofact_TetR,29
464,Rv0697,Sigma70_r4,29
465,Reductase_C,CYP450_TxtE,29
466,GMC_mycofac_2,Pyr_redox_2,28
467,GAF,Mycofactocin_RRE,28
468,mycofact_TetR,SHOCT,28
469,Sig70_famx2,DDAH_eukar,28
470,Methyltransf_25,actino_HemFlav,28
471,TetR_N,Sigma70_r4,28
472,actino_HemFlav,mycofact_OYE_2,28
473,Methyltransf_25,Response_reg,28
474,mycofact_creat,Pyrid_ox_like,28
475,TetR_N,DNA_alkylation,28
476,TetR_N,glut_race,28
477,Methyltransf_25,mycofact_creat,28
478,ETF_alpha,mycofact_TetR,28
479,Sig70_famx2,MarR,28
480,Mycofactocin_RRE,HATPase_c_2,28
481,actino_HemFlav,DoxX_3,27
482,Pyr_redox_2,SHOCT,27
483,mycofact_rSAM,DoxX_3,27
484,SDR_subfam_2,mycofact_OYE_1,27
485,efflux_EmrB,TetR_C_11,27
486,HTH_23,mycofact_creat,27
487,DNA_alkylation,Reductase_C,27
488,PA_CoA_Oxy5,DoxX_3,27
489,mycofactocin,pcaR_pcaU,27
490,Response_reg,mycofact_TetR,27
491,actino_HemFlav,ECH_1,27
492,actino_HemFlav,SHOCT,27
493,mycofact_TetR,DoxX_3,27
494,mycofact_rSAM,HATPase_c_2,27
495,Mycofactocin_RRE,DoxX_3,27
496,mycofact_OYE_2,TetR_N,27
497,CYP450_TxtE,DDAH_eukar,27
498,Rv0697,SHOCT,27
499,GAF,mycofact_rSAM,27
500,Fer4,ETF,27
501,mycofactocin,HATPase_c_2,27
502,Mycofactocin_RRE,GAF_2,26
503,mycofact_rSAM,pcaR_pcaU,26
504,mycofact_OYE_1,TetR_N,26
505,DDAH_eukar,Sigma70_r4,26
506,mft_etfB,mycofact_TetR,26
507,SDR_subfam_2,mycofact_OYE_2,26
508,SDR_subfam_1,SHOCT,26
509,Fer4,mycofact_OYE_1,26
510,mycofact_creat,adh_short,26
511,mycofact_rSAM,GAF_2,26
512,Methyltransf_25,HisKA_3,26
513,mycofact_TetR,adh_short,26
514,efflux_EmrB,DDAH_eukar,26
515,GG-red-SF,mycofact_TetR,26
516,actino_HemFlav,adh_short,26
517,mycofactocin,DoxX_3,26
518,SDR_subfam_1,DoxX_3,26
519,actino_HemFlav,AMP-binding,26
520,DoxX_3,Pyr_redox_2,26
521,mycofactocin,GAF_2,26
522,FAD_binding_3,mycofact_TetR,26
523,Mycofactocin_RRE,pcaR_pcaU,26
524,Rv0697,AAA_5,25
525,mycofact_TetR,ECH_1,25
526,efflux_EmrB,MarR,25
527,SDR_subfam_2,TetR_N,25
528,mycofact_TetR,adh_short_C2,25
529,Glyoxalase_6,Sigma70_r4,25
530,Fer4_2,ETF,25
531,VWA_2,actino_HemFlav,25
532,mft_etfB,Fer4,25
533,mycofact_glyco,ECH_1,25
534,HTH_23,mycofact_glyco,25
535,ETF,mycofact_OYE_1,25
536,mycofact_glyco,adh_short,25
537,actino_HemFlav,mycofact_OYE_1,25
538,DoxX_3,DNA_alkylation,25
539,Rv0697,VWA_2,25
540,SDR_subfam_2,HisKA_3,25
541,SDR_subfam_1,Glyoxalase_6,24
542,AMP-binding_C,mycofact_glyco,24
543,Reductase_C,MarR,24
544,mft_etfB,Fer4_2,24
545,actino_HemFlav,AMP-binding_C,24
546,PA_CoA_Oxy5,glut_race,24
547,SDR_subfam_2,ETF_alpha,24
548,SDR_subfam_2,mft_etfB,24
549,Fer4_2,mycofact_OYE_1,24
550,Reductase_C,Orn_aminotrans,24
551,mycofact_glyco,adh_short_C2,24
552,Mycofactocin_RRE,glut_race,24
553,Sig70_famx2,Sigma70_r4,24
554,Fer4_2,mycofact_TetR,24
555,mycofact_rSAM,MarR_2,24
556,CYP450_TxtE,MarR,24
557,GAF,mycofact_glyco,24
558,Mycofactocin_RRE,SPW,24
559,GMC_mycofac_2,DNA_alkylation,24
560,Methyltransf_25,Fe-ADH,24
561,SPW,mycofact_TetR,24
562,mycofactocin,MarR_2,24
563,Peripla_BP_2,Pyrid_ox_like,24
564,mycofactocin,glut_race,24
565,TetR_N,Orn_aminotrans,24
566,FAD_binding_3,mycofact_creat,23
567,Mycofactocin_RRE,NUDIX,23
568,cyc_hxne_CoA_dh,actino_HemFlav,23
569,actino_HemFlav,HATPase_c_2,23
570,GerE,HATPase_c_2,23
571,mycofactocin,NUDIX,23
572,Polyketide_cyc2,mycofact_rSAM,23
573,SDR_subfam_2,Rxyl_3153,23
574,AMP-binding,mycofact_creat,23
575,mycofactocin,SPW,23
576,SDR_subfam_2,Fe-ADH,23
577,Polyketide_cyc2,Mycofactocin_RRE,23
578,CoA_transf_3,DoxX_3,23
579,mycofact_rSAM,glut_race,23
580,AAA_5,MCM,23
581,TetR_C_1,mycofactocin,23
582,Mycofactocin_RRE,MarR_2,23
583,mycofact_TetR,Aldedh,23
584,LysR_substrate,Mycofactocin_RRE,23
585,Reductase_C,SHOCT,23
586,actino_HemFlav,pcaR_pcaU,23
587,TetR_C_1,Mycofactocin_RRE,23
588,PA_CoA_Oxy5,SPW,23
589,mycofact_creat,ECH_1,23
590,Glyoxalase_6,TetR_C_11,23
591,AMP-binding,mycofact_TetR,23
592,SDR_subfam_2,GG-red-SF,23
593,mycofactocin,MCM,23
594,Mycofactocin_RRE,MCM,23
595,Mycofactocin_RRE,HTH_20,22
596,mycofact_rSAM,HTH_20,22
597,CYP450_TxtE,Sigma70_r4,22
598,mycofactocin,HTH_20,22
599,SDR_subfam_1,marine_srt_targ,22
600,efflux_EmrB,Sigma70_r4,22
601,Orn_aminotrans,MarR,22
602,DUF2332,SHOCT,22
603,TetR_N,TetR_C_1,22
604,mycofact_rSAM,MCM,22
605,HisKA_3,mycofact_TetR,22
606,mycofact_creat,DoxX_3,22
607,CoA_transf_3,Reductase_C,22
608,mycofact_rSAM,SPW,22
609,TetR_C_1,mycofact_rSAM,22
610,TetR_N,SHOCT,22
611,AA-adenyl-dom,Condensation,22
612,Response_reg,HATPase_c_2,22
613,TetR_C_11,Reductase_C,22
614,mycofact_TetR,MCM,22
615,actino_HemFlav,MarR_2,22
616,Polyketide_cyc2,mycofactocin,22
617,FAD_binding_3,Pyrid_ox_like,22
618,mycofactocin,HTH_31,22
619,mycofact_rSAM,HTH_31,22
620,HisKA_3,HATPase_c_2,22
621,Mycofactocin_RRE,HTH_31,22
622,mycofact_rSAM,NUDIX,22
623,HTH_Tnp_ISL3,mycofactocin,21
624,Mycofactocin_RRE,HTH_24,21
625,alpha_am_amid,Condensation,21
626,AMP-binding_C,mycofact_creat,21
627,glut_race,SPW,21
628,AA-adenyl-dom,alpha_am_amid,21
629,Glyoxalase_6,Orn_aminotrans,21
630,cyc_hxne_CoA_dh,mycofact_TetR,21
631,Methyltransf_11,SDR_subfam_1,21
632,cyc_hxne_CoA_dh,mycofact_glyco,21
633,Acetyltransf_1,Mycofactocin_RRE,21
634,mycofact_rSAM,HTH_24,21
635,Polyketide_cyc2,mycofact_TetR,21
636,Mycofactocin_RRE,drrA,21
637,Sig70_famx2,TetR_C_11,21
638,Mycofactocin_RRE,gas_vesic_GvpN,21
639,mycofactocin,gas_vesic_GvpN,21
640,AAA_16,mycofactocin,21
641,mycofactocin,drrA,21
642,mycofact_OYE_1,mycofact_glyco,21
643,mycofact_rSAM,gas_vesic_GvpN,21
644,efflux_EmrB,DUF2332,21
645,mycofact_rSAM,SnoaL_2,21
646,Mycofactocin_RRE,SnoaL_2,21
647,Acetyltransf_1,mycofactocin,21
648,mycofactocin,SnoaL_2,21
649,Acetyltransf_1,mycofact_rSAM,20
650,Rv0697,PA_CoA_Oxy5,20
651,AAA_16,mycofact_rSAM,20
652,mycofact_glyco,DoxX_3,20
653,ETF,mycofact_TetR,20
654,DoxX_3,Reductase_C,20
655,LysR_substrate,mycofactocin,20
656,LysR_substrate,mycofact_rSAM,20
657,mycofact_glyco,MFS_1,20
658,AAA_16,Mycofactocin_RRE,20
659,Rxyl_3153,AAA_5,20
660,SDR_subfam_1,MCM,20
661,MarR_2,mycofact_creat,20
662,mycofactocin,HTH_24,20
663,SDR_subfam_2,Fer4,20
664,VWA_2,mycofact_creat,20
665,HTH_Tnp_ISL3,mycofact_TetR,20
