,counts
Transp_cyt_pur,16
GGDEF,16
Abhydrolase_6,16
P450_rel_GT_act,16
Phosphodiest,15
EF-Tu,15
Asp_Glu_race,15
DUF952,15
Trans_reg_C,15
AcCoA-C-Actrans,15
AHSA1,15
Rv1155_F420,15
UPF0225,15
Fer4_13,14
HATPase_c,14
Aldo_ket_red,14
HTH_28,14
EAL,14
SEC-C,13
4hydroxCoAred,13
HTH_38,13
AAA,13
mycofact_MftB,13
Thioesterase,13
DAO,13
HxlR,13
Glyoxalase,12
Ac_CoA_lig_AcsA,12
APH,12
BPD_transp_2,12
Ribonuc_L-PSP,12
Acyl-CoA_dh_M,12
TrmB,12
HTH_11,12
Abhydrolase_1,12
NAD_binding_8,12
TetR_C_31,12
Creatininase,11
DUF4442,11
MaoC_dehydratas,11
HTH_5,11
HTH_Crp_2,11
Bac_luciferase,11
BioC,10
HTH_29,10
phoR_proteo,10
AAA_18,10
SBP_bac_5,10
ntrC,10
phnR_burk,10
PGDH,10
Flavin_Reduct,10
HTH_18,10
SpoIIE,10
FeFe_hydrog_B1,10
TetR_C_33,10
HNH,10
Cob-chelat-sub,10
Beta-lactamase,10
DUF5826,10
Cupin_2,10
HTH_8,9
26Sp45,9
Peripla_BP_6,9
Fer4_6,9
BPD_transp_1,9
DUF779,9
TAT_signal,9
Hydrolase_4,9
AAA_30,9
CO_deh_flav_C,9
FA_desaturase,9
PE,9
PqqA,9
FAD_binding_5,9
ABC2_membrane,9
Acyl-CoA_dh_N,9
HTH_7,9
PAS_4,9
MerR,9
rpsJ_bact,9
quinone_pig3,9
RskA,8
Amidohydro_3,8
nickel_nikB,8
2A0306,8
COXG,8
Pyr_redox_3,8
SelP_N,8
greA,8
RutR,8
PEP_resp_reg,8
HAMP,8
Gpr1_Fun34_YaaH,8
3oxo_ACP_reduc,8
Sigma70_r4_2,8
RuvB_N,8
MbtH,8
PhyH,8
DoxX,8
bpMoxR,8
Glycos_transf_2,7
FCD,7
LIP,7
nickel_nikE,7
Malic_M,7
malic,7
TPR_MalT,7
TetR_C_6,7
2A0106,7
ABM,7
MmgE_PrpD_C,7
MmgE_PrpD,7
MerR_1,7
HIBADH,7
SigE-fam_strep,7
MLTR_LBD,7
DUF1707,7
nickel_nikC,7
tdh,7
sensory_box,7
Pkinase,7
CobN-Mg_chel,7
AraC_binding_2,7
Tex_YqgF,7
AbiEi_1,7
aprB,7
TAT_signal_seq,7
DprA_WH,7
EutB,7
WD40,7
Methyltransf_19,7
Mg_chelatase,7
MR_MLE_C,6
AFOR_C,6
nickel_nikD,6
TOMM_kin_cyc,6
AFOR_N,6
TetR_C_14,6
Rieske,6
Sirohm_synth_M,6
Hemerythrin,6
SnoaL_4,6
SGL,6
Abhydrolase_3,6
LacI,6
DSBA,6
PhnU2,6
HTH_AraC,6
Acyl-CoA_dh_2,6
MaoC_dehydrat_N,6
OB_aCoA_assoc,6
ccpA,6
TPR_19,6
npdG,6
NYN_YacP,6
Acetyltransf_6,6
2A0305,6
cztS_silS_copS,6
Tex_N,6
Voltage_CLC,6
DZR,6
S1,6
HHH_9,6
HHH_3,6
ROK,6
TsaE,6
Methyltransf_12,6
ilvD,6
chaperone_ClpB,6
Pyr_redox,6
2_A_01_02,6
CobT_C,6
TOBE_2,6
TPR_12,6
FAD_binding_2,6
drrB,6
DUF4131,6
proV,5
TPR_2,5
DUF362,5
T2SSF,5
DUF3040,5
Alpha-amylase,5
ANTAR,5
PD40,5
prpB,5
LCM,5
TMAO_torS,5
RibD_C,5
AAA_33,5
L3_bact,5
Peripla_BP_3,5
TIGR00147,5
PaaC-3OHAcCoADH,5
FecCD,5
PA_CoA_ligase,5
T7SS_ESX_EspC,5
LPOR,5
zinc_ribbon_2,5
MTES_1575,5
rpsG_bact,5
zf-ribbon_3,5
AAA_22,5
Amidase,5
citE,5
Fer4_9,5
DUF2201,5
omega_3_PfaA,5
CBS,5
His_Phos_1,5
ligase_PEP_1,5
D-ala-DACP-lig,5
HTH_10,5
Docking,5
HHH_6,5
Lipase_GDSL_2,5
ntrB,5
recomb_XerC,5
formate_TAT,5
AA_permease_2,5
DUF35_N,5
Phage_integrase,5
Amino_oxidase,5
TRX_reduct,5
2A0121,5
pimC_large,5
MM_CoA_mutase,5
xylG,5
CarboxypepD_reg,5
Pribosyltran,5
DJ-1_PfpI,5
decarb_PcaC,5
Rce1-like,5
RelB,5
drrC,5
Fer4_15,5
IPTL_CTERM,5
Meth_synt_2,5
TetR_C_30,4
trehalose_treC,4
SBP_bac_8,4
/NonD,4
LPXTG_anchor,4
lao,4
Rubredoxin,4
MPAB_Lcp_cat,4
RLI,4
Pyridox_ox_2,4
2a6301s01,4
zf-C2H2_11,4
KR,4
MMPL,4
EamA,4
Glyoxalase_4,4
crcB,4
Stand_Alone_Lasso_RRE,4
HTH_32,4
tartro_sem_red,4
D-hydantoinase,4
sixA,4
thia_cytX,4
Se_ygfK,4
Lactamase_B,4
CMD,4
HTH_17,4
FAD_binding_9,4
SIP,4
FAA_hydrolase,4
SCP2,4
Acyl_transf_3,4
sulfur_SfnB,4
PaaB1,4
GGDEF_2,4
DUF4097,4
HEAT_2,4
F420_MSMEG_2249,4
KshA_C,4
HAD-SF-IB-hyp1,4
F5_F8_type_C,4
Fer2,4
VWA,4
LssY_C,4
PpsR-CrtJ,4
MR_MLE_N,4
EutC,4
propionate_PrpR,4
Epimerase,4
Phage_holin_3_6,4
FMO-like,4
DUF418,4
G3P_acyltransf,4
4HBT_2,4
menE,4
PQQ_ABC_repeats,4
DivIC,4
selen_ocin,4
DUF1254,4
DoxX_2,4
PIN,4
SBP_bac_1,4
Cupin_3,4
Rhodanese,4
Sortase,4
XdhC_C,4
DUF397,4
4HBT,4
2-Hacid_dh_C,4
sda_mono,4
ROK_glcA_fam,4
DUF664,4
Fe_dep_repress,4
DUF998,4
pucE,4
Thiolase_N,4
Beta_helix,4
DUF2604,4
Flavodoxin_2,4
PHB_DH,4
SCM_rSAM_ScmE,4
Sigma54_activ_2,4
TrkA_C,3
DUF6358,3
menH_SHCHC,3
DUF1656,3
FeS_nifS,3
nico,3
SfLAP,3
TetR_C_29,3
FtsX,3
Ricin_B_lectin,3
pter_reduc_Leis,3
AAA_3,3
caca2,3
CBM_2,3
DUF1524,3
fkbM_fam,3
FAD_oxidored,3
heli_sec_ATPase,3
ant_ant_sig,3
GMC_oxred_C,3
CpaE_hom_Actino,3
HpnZ_proposed,3
pyruv_oxi_spxB,3
Cm_res_leader,3
pimD_small,3
CDF,3
TOBE,3
Transketolase_C,3
udk,3
zwf,3
DUF4381,3
ABC2_membrane_3,3
AI-2E_transport,3
NAD_binding_2,3
NosD_copper_fam,3
cNMP_binding,3
AAA_29,3
NB-ARC,3
MCPsignal,3
CSD,3
rve,3
SigBFG,3
KRTAP,3
Lumazine_bd_2,3
pro_imino_pep_2,3
F420_Rv1855c,3
DNA_pol_lambd_f,3
fabH,3
PaaX,3
DUF2614,3
Ribosomal_L31,3
Transket_pyr,3
HpaR,3
NMT1,3
Ubi-OHases,3
DHPS,3
HpnA,3
ATPase-IB_hvy,3
DUF6286,3
PS-DH,3
TREH_N,3
PAS,3
IMS,3
NAD_binding_10,3
Peripla_BP_4,3
SmpB,3
p450,3
Glyco_hydro_15,3
PhnT2,3
padR_acidobact,3
HpcH_HpaI,3
AcAcCoA_reduct,3
Hva1_TUDOR,3
Rubredoxin_2,3
FAD_binding_4,3
UPF0547,3
CutC,3
DUF4031,3
INV_N,3
rSAM_BlsE,3
XdhC_CoxI,3
DUF3293,3
DUF4242,3
zf-C2H2,3
Chorismate_bind,3
Ni_hydr_CYTB,3
RHH_1,3
cztR_silR_copR,3
PadR,3
catechol_dmpE,3
AGP_acyltrn,3
Chlorophyllase2,3
TPR_16,3
mycoS_dep_FDH,3
DinB_2,3
LPAM_2,3
DDE_3,3
SoxR,3
P_acnes_RR,3
pbp2_mrdA,3
GxGYxYP_C,3
fvmX3,3
GxGYxYP_N,3
PaaN-DH,3
Nterm_IS4,3
B4_12hDH,3
CbtA,3
PNTB,3
pntA,3
HD,3
urea_trans_UrtD,3
Metallophos,3
TrkA_N,3
RhaD_aldol-ADH,3
DUF732,3
Thi4,3
SoxH_rel_PQQ_2,3
PhdYeFM_antitox,3
DUF1127,3
Peptidase_S8,3
DUF1059,3
2A0114,3
dhbA_paeA,3
acyl_WS_DGAT,3
BD-FAE,3
bchO_mg_che_rel,3
Uma2,3
EHN,3
HicB,3
ATP-grasp_4,3
GCV_T,3
Guanylate_cyc,3
Lsr2,3
DUF6415,3
Esterase_PHB,3
acolac_lg,3
AbiEi_4,3
HisKA,3
cytochro_ccmI,3
MOSC,3
Clp_N,3
glcD,3
HD_5,3
GAF_3,3
NTP_transf_9,3
Oxidored_q2,3
Proton_antipo_M,3
sigma70-ECF,3
heterocyst_DevA,3
DUF6003,2
DUF4232,2
gltD_gamma_fam,2
DapE-ArgE,2
S_4TM,2
FMN_reduc_MsuE,2
N-Ac-Glu-synth,2
DJC28_CD,2
GATase,2
3-alpha,2
PhoB,2
RraA-like,2
urea_carbox,2
Trypsin_2,2
pyruv_carbox,2
ArsA_ATPase,2
ArsA_HSP20,2
YCII,2
Oxidored_FMN,2
MerD,2
Pro_dh,2
HTH_25,2
mmCoA_mut_beta,2
ac_ald_DH_ac,2
4OH_2_O_val_ald,2
SCF,2
Cyclase,2
PDH_E1_alph_y,2
ABC_ABC_ChvD,2
kduD,2
LD_lanti_pre,2
GroEL,2
XylB,2
Acetyltransf_7,2
MtN3_slv,2
PHA_depoly_arom,2
CydD,2
Acetyltransf_5,2
phosphate_pstC,2
MFS_3,2
biphenyl_bphD,2
DUF3369,2
AcylCoA_DH_N,2
Acyl-CoA_dh_C,2
Carboxyl_trans,2
DUF2889,2
sigpep_I_arch,2
lipA,2
WXG100,2
Na_H_Exchanger,2
LexA_DNA_bind,2
SSADH,2
PASTA,2
SRAP,2
DUF1294,2
ApbE,2
Ferric_reduct,2
zf-HC2,2
NHL,2
spore_lonB,2
Septum_form,2
DUF4190,2
DUF1648,2
DUF883,2
AAA_lid_2,2
Bac_rhamnosid6H,2
Bac_rhamnosid_C,2
PAS_3,2
Pox_RNA_pol_35,2
RelA_SpoT,2
HTH_50,2
Fructosamin_kin,2
YjbR,2
MsbA_rel,2
ac_ac_CoA_syn,2
DUF6457,2
rad_SAM_trio,2
hi_GC_TIGR00026,2
Enolase_like_N,2
ThiS,2
Rad50_zn_hook,2
ASH,2
KfrA_N,2
Abhydrolase_10,2
Putative_PNPOx,2
Alkyl_sulf_C,2
acr3,2
NHEJ_ligase_prk,2
NDH_I_M,2
NicO,2
Glycolytic,2
Dimerisation,2
Acetyltransf_3,2
SBD_N,2
NBD_C,2
ACT_7,2
DUF3887,2
HAD,2
Sulfatase,2
4HBT_3,2
PEP_synth,2
VMA21,2
Fn3-like,2
ABATE,2
Glyco_hydro_3,2
PS_I_psaM,2
DUF6459,2
pcrA,2
STAS_2,2
Glyco_hydro_3_C,2
LPMO_10,2
fdhA_non_GSH,2
lolCE,2
Kinocilin,2
TIGR02928,2
FUR,2
Cons_hypoth698,2
DUF2749,2
PQQ_2,2
DUF4191,2
Dimerisation2,2
BNR,2
HTH_21,2
BchM-ChlM,2
DUF6403,2
Ubie_methyltran,2
FmdA_AmdA,2
aceE,2
OPT,2
rluA_subfam,2
ACC_epsilon,2
RuBisCO_small,2
ptsS_2,2
NAD_binding_9,2
chitin_NgcE,2
cbbX_cfxQ,2
DNA_binding_1,2
OsmC,2
TmoB,2
HbpS-like,2
rSAM_for_selen,2
UBA_4,2
Aminotran_1_2,2
AAA_19,2
ECH_2,2
Cpta_toxin,2
DUF1016_N,2
DHquinase_II,2
MMSDH,2
flavo_MJ0208,2
Inhibitor_I36,2
Caa3_CtaG,2
MoCoBD_2,2
Ring_hydroxyl_B,2
benzo_1_2_benA,2
rve_3,2
PepSY_TM,2
DUF5134,2
HMA,2
TIGR00091,2
TgpA_N,2
potA,2
Bax1-I,2
Dabb,2
Tcp10_C,2
ANAPC4_WD40,2
MoCoBD_1,2
AAA_28,2
gntK_FGGY,2
LAL_C2,2
MenG_heptapren,2
HTH_42,2
Metal_hydrol,2
SBP_bac_11,2
DMRT5_DMB,2
zinc_ribbon_10,2
TetR_C_35,2
ahcY,2
PRK,2
DUF6074,2
matE,2
TetR_C_16,2
PHA_synth_I,2
pcaJ_scoB_fam,2
Co_AT_N,2
CoA_trans,2
F420_oxidored,2
DUF6374,2
glycerol_kin,2
SsuA_fam,2
AAA_25,2
Acetyltransf_9,2
thiovirid_RiPP,2
PT_fungal_PKS,2
malonate_mdcH,2
HpaI,2
TPR_14,2
gcvT,2
Spectrin,2
DUF6404,2
OrfB_Zn_ribbon,2
isocit_lyase,2
DUF4133,2
protocat_beta,2
DUF2934,2
FdhD-NarQ,2
RutC,2
DUF6597,2
TIGR03086,2
CNNM,2
PucR,2
F420_MSMEG_2906,2
FMN_nitrolo,2
rplD_bact,2
ThiF,2
Proteasome_A_N,2
HTH_26,2
MnhB,2
AA_permease,2
DDE_Tnp_1,2
hemK_rel_arch,2
hemL,2
CHAD,2
gpx7,2
GSHPx,2
DUF4386,2
DUF4010,2
TPR_8,2
Peptidase_S66C,2
Chorion_S16,2
DUF559,2
Peptidase_S66,2
DUF520,2
oxido_grp_1,2
TetR_C_20,2
Cutinase,2
N6_N4_Mtase,2
PMT_2,2
sCache_3_2,2
Peptidase_M48,2
Cupin_6,2
Cellulase,2
Nitroreductase,2
TarH,2
Transgly_assoc,2
ligK_PcmE,2
Peptidase_M14,2
DUF899,2
cyc_hxne_CoA_lg,2
CysN,2
DUF1214,2
recQ,2
2TM,2
MucB_RseB_C,2
Ldh_2,2
ParA,2
FIST,2
TIGR00268,2
FAD_lactone_ox,2
phn_lysR,2
ADH_zinc_N,2
badI,2
Ran-binding,2
DUF72,2
KCNQ2_u3,2
a_cpa1,2
ADH_N_assoc,2
Whib,2
DUF4402,2
T7SS_Rv3446c,2
PAP2,2
Sulf_transp,2
enACPred_II,2
TPR_9,2
amidohydrolases,2
DUF6480,2
bioA,2
OrfB_IS605,2
HTH_19,2
VWA_3,2
PAF-AH_p_II,2
TetR_C_15,2
DUF347,2
Sig-70_plancto1,2
BPA,2
Arabinose_Isome,2
TauE,2
TF_pcaQ,2
RHH_4,2
CbiM,2
SNF,2
DLH,2
CsbD,2
DUF6082,2
Peptidase_S9_N,2
Peptidase_S9,2
SAICAR_synt,2
dnlj,2
ACT,2
TauD,2
Fer4_7,2
aldehy_Rv0768,2
DUF6232,2
TIGR02246,2
PDGLE,2
CxxC_CxxC_SSSS,2
PDH_E1_alph_x,2
RPE65,2
SGNH,2
NLPC_P60,2
DHB_AMP_lig,2
YoeB_toxin,2
BTAD,2
FrhG,2
E1-E2_ATPase,2
DUF3619,2
glyco_like_mftF,2
sCache_3_3,2
DUF6307,2
MaAIMP_sms,2
GOGAT_sm_gam,2
hslU,2
DUF6131,2
Hydrolase_3,2
DnaA_homol_Hda,2
Band_7,2
PEP_his_kin,2
Arabinose_Iso_C,2
urea_trans_UrtE,2
Glyco_hydro_92,2
MGT,2
Glyco_hydro_92N,2
Glyco_hydro_25,2
dhaK1,2
Fdhalpha-like,2
PE-PPE,2
PorB_KorB,2
IclR,2
CSLREA_Nterm,2
Pyridoxal_deC,2
NAD_kinase,2
CMAS,2
ECF_T_CbiQ,2
DUF5753,2
DUF1636,1
metW,1
DUF6262,1
PA_CoA_Oxy4,1
PfkB,1
ProTailRpt,1
GlcNAc_2-epim,1
Trypsin,1
DUF6541,1
rimK_fam,1
AurF,1
Dehydratase_hem,1
MJ0042_CXXC,1
nitrile_alph,1
Cecropin,1
nitrile_acc,1
ORF_12_N,1
DOC_P1,1
zinc_ribbon_5,1
APP_amyloid,1
CbtB,1
DUF6290,1
TRI12,1
PknH_C,1
BatA,1
Phage_int_SAM_3,1
maiA,1
K_channel_TID,1
YqfQ,1
ILVD_EDD,1
WzyE,1
DUF6013,1
TniB,1
ZT_dimer,1
Sulfolobus_pRN,1
fumC_II,1
PG_binding_1,1
uvra,1
Laminin_G_2,1
3keto-disac_hyd,1
NifZ,1
ectoine_ehuA,1
Imm2,1
DUF6343,1
NRPS-para261,1
SKI,1
PsbN,1
recomb_XerD,1
nadB,1
benz_CoA_lig,1
PrmC_N,1
Bac_rhamnosid,1
Bac_rhamnosid_N,1
xanthine_xdhC,1
DUF2680,1
Peptidase_M73,1
NanE,1
DUF5606,1
DUF4352,1
DUF5666,1
DUF4307,1
ChW,1
DUF58,1
Xre-like-HTH,1
CotJA,1
DcuC,1
spore_V_K,1
T7SS_EccA,1
APS_kinase,1
DUF2249,1
DUF2478,1
Cytidylate_kin,1
aconitase_1,1
rSAM_QueE_gams,1
Mg_trans_NIPA,1
uraD_N-term-dom,1
BCA_ABC_TP_C,1
DegT_DnrJ_EryC1,1
DUF3572,1
excise,1
YqeY,1
ATPase-IB1_Cu,1
ruvB,1
PIG-L,1
near_KaiC_dom,1
mycothiol_MshB,1
FR47,1
Beta_helix_2,1
Glyco_hydro_32N,1
Mop,1
Mo_ABC_porter,1
TENA_THI-4,1
IMS_C,1
DUF3802,1
Phage_coatGP8,1
Fer4_19,1
DUF2063,1
soxG,1
DUF6328,1
AtuA,1
SDH_alpha,1
moaA,1
xxxLxxG_by_4,1
SH3_and_anchor,1
DUF1664,1
DUF6052,1
Phage_TAC_6,1
DHDPS,1
treS_nterm,1
Tombus_P33,1
VKOR,1
PPC,1
Phage_tail_APC,1
Peptidase_M16_C,1
AvrB_AvrC,1
Cation_efflux,1
E_Pc_C,1
Peptidase_S58,1
DUF6550,1
NAD_binding_1,1
cis_trans_EpsD,1
DUF5372,1
polyprenyl_synt,1
ispH_lytB,1
sulphoacet_xsc,1
DDE_5,1
Inositol_P,1
BON,1
EcKL,1
AOX,1
Phage_holin_2_3,1
PgaC_IcaA,1
Utp14,1
Eno-Rase_FAD_bd,1
zf-RAG1,1
DUF5990,1
met_pdase_I,1
DUF412,1
GABAtrnsam,1
Propep_M14,1
DUF1989,1
DUF262,1
PRAI,1
FKBP_C,1
SCP2_2,1
Acetyltransf_17,1
glycosyl_450act,1
murB,1
malate_syn_A,1
3A0103s03R,1
DUF6203,1
DUF5654,1
carboxysome_A,1
AIM24,1
dapB,1
DMAP_binding,1
DUF4254,1
TetR_C_32,1
CorC_HlyC,1
HTH_22,1
SdrD_B,1
Harakiri,1
symport_actP,1
DUF485,1
DUF6416,1
cysG_Nterm,1
MOSC_N,1
OppC_N,1
DUF3224,1
APS_reductase,1
sir,1
cobA_cysG_Cterm,1
PT-TG,1
Ribosomal_60s,1
nqrF,1
DUF2613,1
Mrr_N,1
RuBisCO_large,1
sufC,1
DapC_direct,1
phenyl_ABC_PedC,1
Apelin,1
GldE,1
pilus_cpaD,1
PIG-P,1
TPR_4,1
EF_0839,1
thiazolyl_GetA,1
TIGR03083,1
DUF5995,1
HpnN,1
DUF5710,1
RuBisCO_large_N,1
serS,1
MIP,1
CD20,1
NQR2_RnfD_RnfE,1
quino_hemo_SAM,1
DUF1990,1
DUF4231,1
ECF_ATPase_2,1
DUF5655,1
TPR_1,1
DAHP_synth_Bsub,1
IMP_dehydrog,1
DUF2298,1
PHBC_N,1
DUF6647,1
DnaJ,1
DAHP_snth_FXD,1
HCMV_UL124,1
DUF1003,1
Mpo1-like,1
VIGSSK,1
Ppx-GppA,1
SCFA_trans,1
DUF6694,1
DUF3500,1
DUF6033,1
DUF3562,1
DUF389,1
Atu4866,1
L-ribulokinase,1
araD,1
DHAK_reg,1
TetR_C_8,1
Gly_transporter,1
TrbK_Ti,1
DUF883_C,1
DUF501,1
eno,1
SLT_2,1
Spore_YhaL,1
TIGR00292,1
Thiolase_C,1
TLP1_add_C,1
SMI1_KNR4,1
Peptidase_M19,1
EKR,1
bacter_Hen1,1
Sulfotransfer_4,1
bacter_Pnkp,1
zf-TFIIB,1
zf-RING_7,1
zf-ACC,1
DnaJ_CXXCXGXG,1
TOMM_pelo,1
aroB,1
TIGR03943,1
Big_5,1
3a0106s02,1
MYXO-CTERM,1
DUF2264,1
permease_CysT,1
MerR-DNA-bind,1
HEAT,1
NAD_binding_11,1
DUF3558,1
UvrD_C_2,1
FSH1,1
CitMHS,1
DUF6063,1
DUF6319,1
BenE,1
2A0109,1
2A0115,1
muco_delta,1
PEP_exosort,1
YceI,1
LapA_dom,1
SnoaL,1
fruc_bis_ald_,1
bZIP_1,1
rve_2,1
DDE_Tnp_IS240,1
Trypan_PARP,1
DUF4134,1
2a38,1
DUF6264,1
BKACE,1
HpaE,1
Transglut_core3,1
2OG-FeII_Oxy,1
DIOX_N,1
23BDH,1
Apidaecin,1
Prenyltransf,1
catachol_actin,1
mucon_cyclo,1
2a6301s04,1
Ank_3,1
CYTH,1
PGPGW,1
DUF3311,1
DUF3459,1
CBM_20,1
AMPK1_CBM,1
UreE_C,1
Ank_4,1
MNHE,1
formate-DH-alph,1
FDH-beta,1
NrfD,1
NTP_transf_3,1
hemeryth_dom,1
Glyco_hydro_6,1
rpsL_bact,1
seco_metab_LLM,1
DUF2020,1
panF,1
PaaD,1
MrpF_PhaF,1
PhaG_MnhG_YufB,1
DUF5933,1
PAP2_3,1
gshA_cyan_rel,1
Sod_Cu,1
LytR_C,1
DUF3263,1
Pep_deformylase,1
NPR,1
F420-0_ABC_ATP,1
MsbA_lipidA,1
KORA,1
IstB_IS21,1
chol_sulf_TF,1
TrkH,1
DUF6112,1
FliG_C,1
HAD_type_II,1
Lon_C,1
UPF0182,1
MHB,1
ATPase-Plipid,1
zf-CGNR,1
wecD_rffC,1
GyrI-like,1
Transglycosylas,1
IMPACT_YIGZ,1
Transglut_core,1
DUF5931,1
DUF2339,1
met_syn_B12ind,1
Phage_holin_4_2,1
DUF6325,1
DUF1269,1
Tricorn_PDZ,1
HAD_2,1
CFAP61_N,1
CopG_antitoxin,1
FAM70,1
Abhydrolase_2,1
PpiC_rel_mature,1
F420_Rv3093c,1
F420_MSMEG_2516,1
F420_G6P_DH,1
DUF6377,1
SBP_bac_3,1
ectoine_ehuD,1
ectoine_ehuC,1
YHS,1
Phenol_Hydrox,1
3HCDH_RFF,1
ACC_central,1
DUF2080,1
Phage_holin_5_2,1
Kazal_3,1
PIN_9,1
SNF2-rel_dom,1
3a0107s01c2,1
choice_anch_A,1
DUF3995,1
Trp_halogenase,1
ATPase_2,1
SWIM,1
Helicase_C,1
DUF6245,1
pro_imino_pep_1,1
SMC_prok_B,1
Bac_DnaA_C,1
Prok-E2_B,1
PilZN1,1
SPC12,1
PQ-loop,1
Big_7,1
3a0107s02c,1
MnmC_Cterm,1
lipoamide_DH,1
DUF2871,1
DUF5325,1
ccmA,1
meth_Rta_06860,1
PhoH,1
PrmC_rel_meth,1
DUF218,1
VP_N-CPKC,1
CATASP,1
Methyltransf_3,1
NRN1,1
Phasin,1
NS1_C,1
arcA,1
ADI,1
integ_memb_HG,1
DUF3060,1
Transposase_20,1
UDP-GALP_mutase,1
DUF6507,1
MraZ,1
TMEM72,1
purD,1
SCP_3,1
DUF3169,1
purF,1
Ribosomal_L29e,1
SUFU,1
PPE,1
Tautomerase,1
ahpD_dom,1
DUF4185,1
yidC_nterm,1
VI_ClpV1,1
TNFR_16_TM,1
Perilipin,1
rSAM_ahbC_deAc,1
DUF4817,1
Transport_MerF,1
LVIVD,1
DUF4111,1
DUF4236,1
DUF3616,1
DUF5671,1
acidobact_VWFA,1
VirB3,1
Diphtheria_C,1
Crp,1
acid_CoA_mut_N,1
DUF5539,1
PutA_N,1
cyt_deam_tetra,1
D1pyr5carbox2,1
Shikimate_DH,1
gltA,1
actII,1
Laminin_II,1
Lipase_3,1
DUF6344,1
gcvP,1
DUF6228,1
Apolipoprotein,1
PvlArgDC,1
HAD-SF-IA-v3,1
dCache_1,1
SHMT,1
gcvH,1
TMEM132D_C,1
crot-CoA-red,1
SNAD4,1
dCMP_cyt_deam_1,1
SiaC,1
DUF6272,1
FadJ,1
DUF4405,1
DUF5559,1
Cep57_CLD_2,1
DUF1512,1
YlqD,1
MC_hydratase,1
AvrD,1
DUF5996,1
NmrA,1
Baseplate_J,1
TrbC,1
DEAH_box_HrpB,1
Peptidase_S11,1
DAPG_hydrolase,1
tat_substr_1,1
Cupredoxin_1,1
Peptidase_M75,1
TIGR00145,1
AdoHcyase_NAD,1
LMWPc,1
DUF6326,1
Selenoprotein_S,1
Excalibur,1
EF-hand_5,1
Zn-ribbon_8,1
DUF2437,1
Zn_ribbon_recom,1
Resolvase,1
Recombinase,1
Peptidase_M20,1
RNase_Z,1
NifU,1
Pullulanase_N2,1
P5CR_dimer,1
LmeA,1
DUF1810,1
Pse_Me-ase,1
Spermine_synth,1
pcaF,1
AAA_14,1
DUF4143,1
accC,1
SBF_like,1
CDC48,1
UBA,1
BLF1,1
anti_R_Lar,1
Laminin_G_3,1
salicylate_mono,1
UreD,1
cysteate_syn,1
near_uncomplex,1
Big_3,1
Peptidase_M78,1
ScfRs,1
Peptidase_C14,1
Phn-HD,1
HtaA,1
sCache_2,1
MetW,1
Fer4_14,1
proC,1
TMEM_230_134,1
zf_UBZ,1
Sigma70_r2,1
DUF6596,1
Tho1_MOS11_C,1
zf-CDGSH,1
Cyt_bd_oxida_II,1
G_glu_transpept,1
lon,1
YhhN,1
lp_,1
CBM60,1
DUF4925,1
exp_by_SipW_III,1
DUF6670,1
YqhR,1
Anthrone_oxy,1
DUF1963,1
RNase_PH_C,1
Ni_insertion,1
AIRC,1
purE,1
zf-HIT,1
