,acc_cyt,domains,mycofactocin,Mycofactocin_RRE,mycofact_rSAM,mycofact_TetR,actino_HemFlav,mycofact_glyco,mycofact_creat,SDR_subfam_1,Rv0697,TetR_N,Pyr_redox_2,SDR_subfam_2,AAA_5,VWA_CoxE,Reductase_C,GerE,mycofact_OYE_2,Response_reg,NDMA_methanol,PA_CoA_Oxy5,HisKA_3,mycofact_OYE_1,Methyltransf_11,efflux_EmrB,Fe-ADH
WP_082843567.1,zzzz446,"['DUF1254', 'TAT_signal', 'MbtH', 'AA-adenyl-dom', 'Condensation', 'AMP-binding', 'alpha_am_amid', 'PP-binding', 'GAF', 'GAF_2', 'Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'TetR_C_1', 'TetR_N', 'PA_CoA_Oxy5', 'DNA_alkylation', 'glut_race', 'Pyr_redox_2', 'Reductase_C', 'SPW', 'TetR_N', 'TetR_C_31']",1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
WP_188829517.1,zzzz610,"['ac_ac_CoA_syn', 'TetR_N', 'TetR_C_24', 'HTH_AsnC-type', 'MbtH', 'AA-adenyl-dom', 'AA-adenyl-dom', 'Condensation', 'alpha_am_amid', 'D-ala-DACP-lig', 'ligase_PEP_1', 'PP-binding', 'NRPS-para261', 'GAF', 'Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'TetR_C_1', 'DUF6457', 'PA_CoA_Oxy5', 'DNA_alkylation', 'glut_race', 'Pyr_redox_2', 'Rv1155_F420', 'hi_GC_TIGR00026']",1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_085999695.1,zzzz218,"['DUF1254', 'DUF1214', 'MbtH', 'AA-adenyl-dom', 'alpha_am_amid', 'cyc_hxne_CoA_lg', 'AA-adenyl-dom', 'Condensation', 'alpha_am_amid', 'ligase_PEP_1', 'PP-binding', 'GAF', 'Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'TetR_C_1', 'PA_CoA_Oxy5', 'DNA_alkylation', 'glut_race', 'Pyr_redox_2', 'Reductase_C', 'SPW', 'TetR_N']",1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
WP_017936751.1,zzzz597,"['phn_lysR', 'CoA_transf_3', 'Aldedh', 'SDR_subfam_1', 'HIBADH', '3oxo_ACP_reduc', 'mycofact_TetR', 'Sigma70_r4', 'Sigma70_r4_2', 'mycofactocin', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco', 'SDR_subfam_1', 'TetR_N', 'APH', 'cyc_hxne_CoA_dh']",1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_202952063.1,zzzz770,"['Phosphodiest', 'ROK', 'MarR_2', 'MarR', 'MarR_2', 'HTH_IclR', 'DUF4817', 'acid_CoA_mut_N', 'mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_glyco', 'actII', 'gltA', 'gltD_gamma_fam', 'Shikimate_DH', 'HTH_30', 'GGDEF_2', 'D1pyr5carbox2', 'Pro_dh', 'PutA_N', 'tdh']",1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_082556906.1,zzzz869,"['mycofact_OYE_2', 'Pyrid_ox_like', 'VWA_2', 'marine_srt_targ', 'VWA_3', 'gas_vesic_GvpN', 'Mg_chelatase', 'SDR_subfam_1', 'SDR_subfam_1', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'TetR_N', 'mycofact_TetR', 'TetR_C_15', 'LacI', 'am_tr_V_VC1184', 'FAD_binding_3', 'SpoIIE', 'GAF_2', 'DUF6286', 'DUF6286']",1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
WP_170194704.1,zzzz406,"['DUF4231', 'TarH', 'formate_TAT', 'Pyr_redox_2', 'Reductase_C', 'DNA_alkylation', 'DoxX_3', 'PA_CoA_Oxy5', 'mycofact_TetR', 'TetR_N', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_MftB', 'mycofact_rSAM', 'actino_HemFlav', 'SDR_subfam_1', 'CoA_transf_3', 'mycofact_creat', 'mycofact_glyco', 'GMC_mycofac_2']",1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
WP_106281291.1,zzzz652,"['mycofact_creat', 'efflux_Bcr_CflA', 'Pyrid_ox_like', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'am_tr_V_VC1184', 'NDMA_methanol', 'AAA_5', 'VWA_CoxE', 'Aldo_ket_red', 'Polyketide_cyc2']",1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
WP_005170140.1,zzzz140,"['Pyr_redox_2', 'DNA_alkylation', 'Voltage_CLC', 'DoxX_3', 'PA_CoA_Oxy5', 'LIP', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'SDR_subfam_1', 'CoA_transf_3', 'mycofact_creat', 'mycofact_glyco', 'GMC_mycofac_2', 'FCD']",1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_007318877.1,zzzz452,"['TarH', 'Pyr_redox_2', 'Reductase_C', 'DNA_alkylation', 'DUF559', 'AbiEi_1', 'DoxX_3', 'PA_CoA_Oxy5', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'SDR_subfam_1', 'CoA_transf_3', 'mycofact_creat', 'mycofact_glyco', 'GMC_mycofac_2', 'glcD']",1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
WP_161928656.1,zzzz270,"['AvrB_AvrC', 'Pyr_redox_2', 'Reductase_C', 'DNA_alkylation', 'F420_MSMEG_2906', 'DoxX_3', 'PA_CoA_Oxy5', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'FMN_nitrolo', 'Polyketide_cyc2', 'PPC', 'SDR_subfam_1', 'SnoaL_2', 'adh_short_C2']",1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
WP_160900602.1,zzzz356,"['Rv1155_F420', 'GMC_mycofac_2', 'mycofact_glyco', 'mycofact_creat', 'CoA_transf_3', 'SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PA_CoA_Oxy5', 'DoxX_3', 'DoxX', 'DNA_alkylation', 'Pyr_redox_2', 'Reductase_C', 'FAM70', 'DUF3040', 'DUF456', 'DUF3619']",1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
WP_124710536.1,zzzz238,"['DUF2749', 'DUF3040', 'Pyr_redox_2', 'DNA_alkylation', 'DoxX_3', 'DoxX', 'PA_CoA_Oxy5', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'SDR_subfam_1', 'CoA_transf_3', 'mycofact_creat', 'mycofact_glyco', 'GMC_mycofac_2', 'Rv1155_F420']",1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_012950891.1,zzzz380,"['Isochorismatase', 'PqqA', 'mycofact_creat', 'mycofact_OYE_2', 'UPF0225', 'SEC-C', 'DUF222', 'HNH', 'Pyrid_ox_like', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'VWA_CoxE', 'Aldo_ket_red', 'Response_reg', 'GerE', 'HisKA_3', 'GAF', 'HATPase_c', 'Fe-ADH', 'am_tr_V_VC1184']",1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1
WP_117378925.1,zzzz449,"['HisKA_3', 'GAF', 'GAF_3', 'Response_reg', 'GerE', 'Polyketide_cyc2', 'VWA_CoxE', 'AAA_5', 'NDMA_methanol', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_OYE_1', 'SDR_subfam_1', 'SDR_subfam_1', 'SDR_subfam_1', 'Pyrid_ox_like', 'UPF0225', 'SEC-C', 'mycofact_OYE_2']",1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0
WP_075014050.1,zzzz870,"['am_tr_V_VC1184', 'phn_lysR', 'PAP2', 'Rotamase_3', 'SurA_N_3', 'Trigger_C', 'DUF680', 'ANTAR', 'GAF_2', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'Pyrid_ox_like', 'efflux_Bcr_CflA', 'mycofact_creat', 'Transp_cyt_pur', 'Peripla_BP_2', 'Isochorismatase', 'mycofact_glyco']",1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_161692904.1,zzzz755,"['AcCoA-C-Actrans', '4HBT_2', 'MFS_1', 'Fer4_13', 'Pyr_redox_2', 'Reductase_C', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_glyco', 'Rv0697', 'Abhydrolase_6', '2A0114', 'AMP-binding', 'AMP-binding_C', 'MM_CoA_mutase', 'MaoC_dehydrat_N']",1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WP_204332291.1,zzzz197,"['drrB', 'drrA', 'TetR_C_1', 'TetR_N', 'mycofact_OYE_2', 'UPF0225', 'Pyrid_ox_like', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'xxxLxxG_by_4', 'am_tr_V_VC1184', 'FAD_binding_3', 'NAD_binding_8', 'Rxyl_3153', 'AAA_5', 'Mg_chelatase', 'AAA_29', 'VWA']",1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
WP_009680802.1,zzzz236,"['DegT_DnrJ_EryC1', 'Thiolase_N', 'MaoC_dehydratas', 'OB_aCoA_assoc', 'DUF35_N', 'MaoC_dehydrat_N', 'adh_short_C2', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PA_CoA_Oxy5', 'DoxX_3', 'DNA_alkylation', 'Pyr_redox_2', 'Reductase_C', 'DUF6541', 'T7SS_Rv3446c']",1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
WP_084541485.1,zzzz554,"['Diacid_rec', 'HTH_30', 'NLPC_P60', 'E1-E2_ATPase', 'TetR_C_24', 'TetR_C_24', 'SDR_subfam_2', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', '3oxo_ACP_reduc', 'cyc_hxne_CoA_dh', 'TetR_N', 'betaine_BetI', 'HTH_23', 'LRR19-TM', 'CM_mono_cladeE', 'efflux_EmrB']",1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
WP_006895669.1,zzzz174,"['RskA', 'INV_N', 'Pyr_redox_2', 'Reductase_C', 'DNA_alkylation', 'DoxX_3', 'PA_CoA_Oxy5', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'FA_desaturase', 'SDR_subfam_1', 'CoA_transf_3', 'mycofact_creat', 'mycofact_glyco', 'GMC_mycofac_2']",1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
WP_131733963.1,zzzz431,"['RskA', 'Pyr_redox_2', 'DNA_alkylation', 'DoxX_3', 'PA_CoA_Oxy5', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'SDR_subfam_1', 'CoA_transf_3', 'mycofact_creat', 'mycofact_glyco', 'GMC_mycofac_2', 'IMPACT_YIGZ']",1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_066164452.1,zzzz604,"['mycofact_creat', 'CoA_transf_3', 'TetR_N', 'TetR_C_33', 'adh_short_C2', 'SnoaL_2', 'SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PA_CoA_Oxy5', 'DoxX_3', 'DNA_alkylation', 'Pyr_redox_2', 'Reductase_C', 'DUF6670', 'TetR_N', 'HTH_IclR']",1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
WP_162393273.1,zzzzz49,"['AAA_5', 'AAA_16', 'Alpha-amylase', 'treS_nterm', 'DUF222', 'HNH', 'DHDPS', 'Polyketide_cyc2', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'Pyrid_ox_like', 'mycofact_creat', 'Phage_TAC_6', 'DUF6052', 'MCPsignal', 'HAMP', 'DUF1664', 'SH3_and_anchor', 'Transp_cyt_pur']",1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WP_105943269.1,zzzz146,"['CoA_transf_3', 'SDR_subfam_1', 'HisKA_3', 'Response_reg', 'GerE', 'heterocyst_DevA', 'FtsX', 'lolCE', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PA_CoA_Oxy5', 'Pyr_redox_2', 'Reductase_C', 'DNA_alkylation', 'MerR_1', 'DoxX_3', 'DUF3318']",1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0
WP_053777934.1,zzzz374,"['Voltage_CLC', 'PA_CoA_Oxy5', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'SDR_subfam_1', 'CoA_transf_3', 'mycofact_creat', 'mycofact_glyco', 'GMC_mycofac_2', 'VKOR']",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_132992090.1,zzzzz80,"['mycofact_creat', 'CoA_transf_3', 'TetR_N', 'TetR_C_33', 'adh_short_C2', 'SnoaL_2', 'SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'PA_CoA_Oxy5', 'DoxX_3', 'DNA_alkylation', 'Pyr_redox_2', 'Reductase_C', 'PS_I_psaM', 'DUF945', 'DUF6459']",1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
WP_227919464.1,zzzz138,"['Pyr_redox_2', 'DNA_alkylation', 'Voltage_CLC', 'DoxX_3', 'PA_CoA_Oxy5', 'LIP', 'Abhydrolase_6', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'SDR_subfam_1', 'CoA_transf_3', 'mycofact_creat', 'mycofact_glyco', 'GMC_mycofac_2', 'phnR_burk']",1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_005199922.1,zzzz332,"['RskA', 'DUF998', 'APH', 'Pyr_redox_2', 'Reductase_C', 'DNA_alkylation', 'DoxX_3', 'PA_CoA_Oxy5', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'SDR_subfam_1', 'CoA_transf_3', 'mycofact_creat', 'mycofact_glyco', 'GMC_mycofac_2', 'Rv1155_F420']",1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
WP_217996375.1,zzzz736,"['T2SSF', 'T2SSF', 'Tir_receptor_C', 'heli_sec_ATPase', 'CpaE_hom_Actino', 'flgA_cterm', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', '3oxo_ACP_reduc', 'ABM', 'TetR_N', 'AAA_8', 'MoaE', 'Amidohydro_2', 'Amidohydro_2']",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_221193072.1,zzzz837,"['HTH_AsnC-type', 'AsnC_trans_reg', 'HTH_Tnp_ISL3', 'HTH_17', 'excise', 'MerR', 'Xre-like-HTH', 'bchO_mg_che_rel', 'YqeY', 'PknH_C', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697', 'efflux_EmrB', 'efflux_EmrB', 'TetR_N', 'TetR_C_11']",1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
