Query,Genus/Species,Nucleotide_acc,Protein_acc,start,end,dir,PfamID1,Name1,Description1,E-value1,PfamID2,Name2,Description2,E-value2,PfamID3,Name3,Description3,E-value3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_145853134.1,900286,900016,-,PF02861,Clp_N,"Clp amino terminal domain, pathogenicity island component",1.9E-09,TIGR02639,TIGR02639,ClpA: ATP-dependent Clp protease ATP-binding subunit ClpA,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_145853135.1,901163,900509,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_145853129.1,Trebonia kvetii,NZ_RPFW01000002.1,WP_145853136.1,901509,901716,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154583.1,166548,168597,+,TIGR00711,TIGR00711,"efflux_EmrB: drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family",2.4E-75,PF07690,MFS_1,Major Facilitator Superfamily,3.9E-48,TIGR00880,TIGR00880,2_A_01_02: multidrug resistance protein,1E-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154587.1,168842,169043,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154590.1,169039,170068,+,PF19803,DUF6286,Family of unknown function (DUF6286),0.00042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154593.1,171476,170090,-,TIGR03965,TIGR03965,mycofact_glyco: mycofactocin system glycosyltransferase,5.6E-102,PF00535,Glycos_transf_2,Glycosyl transferase family 2,4.7E-16,PF13632,Glyco_trans_2_3,Glycosyl transferase family group 2,1.1E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154597.1,172207,171472,-,TIGR04504,TIGR04504,SDR_subfam_2: SDR family mycofactocin-dependent oxidoreductase,3.1E-100,PF13561,adh_short_C2,Enoyl-(Acyl carrier protein) reductase,8.2E-41,TIGR03971,TIGR03971,SDR_subfam_1: SDR family mycofactocin-dependent oxidoreductase,1.2E-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154599.1,172836,172203,-,TIGR03964,TIGR03964,mycofact_creat: mycofactocin system creatininase family protein,3.4E-86,PF02633,Creatininase,Creatinine amidohydrolase,5.6E-56,TIGR04448,TIGR04448,creatininase: creatininase,7.5E-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154602.1,174145,172936,-,TIGR03966,TIGR03966,"actino_HemFlav: heme/flavin dehydrogenase, mycofactocin system",1.5E-196,PF01070,FMN_dh,FMN-dependent dehydrogenase,2.5E-101,TIGR02708,TIGR02708,L_lactate_ox: L-lactate oxidase,5E-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154605.1,175323,174141,-,TIGR03962,TIGR03962,mycofact_rSAM: mycofactocin radical SAM maturase,6.6E-190,TIGR04545,TIGR04545,rSAM_ahbD_hemeb: heme b synthase,8.1E-45,TIGR04055,TIGR04055,rSAM_NirJ2: putative heme d1 biosynthesis radical SAM protein NirJ2,6.1E-42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154608.1,175595,175319,-,RREFam016,Mycofactocin_RRE,Stand-alone RRE protein in a mycofactocin cluster,4.4E-33,TIGR03967,TIGR03967,mycofact_MftB: putative mycofactocin binding protein MftB,7.1E-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154611.1,175704,175596,-,TIGR03969,TIGR03969,mycofactocin: mycofactocin precursor,1.1E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154614.1,175753,176347,+,TIGR03968,TIGR03968,mycofact_TetR: mycofactocin system transcriptional regulator,2E-79,PF17754,TetR_C_14,MftR C-terminal domain,1.3E-40,PF00440,TetR_N,"Bacterial regulatory proteins, tetR family",6.4E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154616.1,177500,176339,-,PF01613,Flavin_Reduct,Flavin reductase like domain,1.5E-39,TIGR03615,TIGR03615,RutF: pyrimidine utilization flavin reductase protein F,1.7E-17,TIGR02296,TIGR02296,"HpaC: 4-hydroxyphenylacetate 3-monooxygenase, reductase component",2.9E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154621.1,178188,177582,-,PF00440,TetR_N,"Bacterial regulatory proteins, tetR family",6.6E-14,TIGR03384,TIGR03384,betaine_BetI: transcriptional repressor BetI,1.7E-07,TIGR03613,TIGR03613,RutR: pyrimidine utilization regulatory protein R,2.1E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154624.1,178826,178184,-,PF00440,TetR_N,"Bacterial regulatory proteins, tetR family",4.7E-14,TIGR03384,TIGR03384,betaine_BetI: transcriptional repressor BetI,2.3E-07,TIGR03613,TIGR03613,RutR: pyrimidine utilization regulatory protein R,8.5E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154627.1,179054,180368,+,PF13458,Peripla_BP_6,Periplasmic binding protein,3.7E-46,TIGR03407,TIGR03407,"urea_ABC_UrtA: urea ABC transporter, urea binding protein",2.7E-10,PF13433,Peripla_BP_5,Periplasmic binding protein domain,2.1E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154630.1,180426,181359,+,PF02653,BPD_transp_2,Branched-chain amino acid transport system / permease component,1.3E-25,TIGR03409,TIGR03409,"urea_trans_UrtB: urea ABC transporter, permease protein UrtB",3.4E-14,TIGR03622,TIGR03622,"urea_t_UrtB_arc: urea ABC transporter, permease protein UrtB",1.6E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_056154608.1,Nocardioides sp. Root224,NZ_LMIN01000009.1,WP_056154632.1,181361,183059,+,TIGR03411,TIGR03411,"urea_trans_UrtD: urea ABC transporter, ATP-binding protein UrtD",3.2E-44,PF02653,BPD_transp_2,Branched-chain amino acid transport system / permease component,1.4E-36,TIGR01188,TIGR01188,"drrA: daunorubicin resistance ABC transporter, ATP-binding protein",3.7E-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_199521762.1,505,190,-,PF02452,PemK_toxin,"PemK-like, MazF-like toxin of type II toxin-antitoxin system",1.7E-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_111258442.1,759,504,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_111258443.1,1759,793,-,PF13280,WYL,WYL domain,7.1E-27,PF08279,HTH_11,HTH domain,2.7E-13,PF19187,HTH_PafC,PafC helix-turn-helix domain,3.8E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_111258444.1,1821,2952,+,PF06441,EHN,Epoxide hydrolase N terminus,4E-39,PF00561,Abhydrolase_1,alpha/beta hydrolase fold,4E-11,PF12697,Abhydrolase_6,Alpha/beta hydrolase family,3.1E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_111258445.1,2948,4088,+,PF06441,EHN,Epoxide hydrolase N terminus,4.8E-39,PF00561,Abhydrolase_1,alpha/beta hydrolase fold,9.3E-10,TIGR03056,TIGR03056,bchO_mg_che_rel: putative magnesium chelatase accessory protein,1.6E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_158564361.1,5613,4149,-,TIGR03965,TIGR03965,mycofact_glyco: mycofactocin system glycosyltransferase,6.8E-123,PF00535,Glycos_transf_2,Glycosyl transferase family 2,9.8E-23,PF13641,Glyco_tranf_2_3,Glycosyltransferase like family 2,1.5E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_233507481.1,6227,5609,-,TIGR03968,TIGR03968,mycofact_TetR: mycofactocin system transcriptional regulator,1.4E-86,PF17754,TetR_C_14,MftR C-terminal domain,3.4E-44,PF00440,TetR_N,"Bacterial regulatory proteins, tetR family",1.7E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_111258448.1,6311,6416,+,TIGR03969,TIGR03969,mycofactocin: mycofactocin precursor,2.5E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_111258449.1,6424,6700,+,RREFam016,Mycofactocin_RRE,Stand-alone RRE protein in a mycofactocin cluster,1.8E-34,TIGR03967,TIGR03967,mycofact_MftB: putative mycofactocin binding protein MftB,2.8E-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_111258450.1,6696,7986,+,TIGR03962,TIGR03962,mycofact_rSAM: mycofactocin radical SAM maturase,2.1E-201,TIGR04545,TIGR04545,rSAM_ahbD_hemeb: heme b synthase,3.7E-49,TIGR04055,TIGR04055,rSAM_NirJ2: putative heme d1 biosynthesis radical SAM protein NirJ2,1.8E-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_111258451.1,8005,8818,+,TIGR03971,TIGR03971,SDR_subfam_1: SDR family mycofactocin-dependent oxidoreductase,2.3E-116,TIGR04504,TIGR04504,SDR_subfam_2: SDR family mycofactocin-dependent oxidoreductase,4.7E-52,PF00106,adh_short,short chain dehydrogenase,4.2E-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_111258452.1,8835,9666,+,TIGR03971,TIGR03971,SDR_subfam_1: SDR family mycofactocin-dependent oxidoreductase,1.8E-124,TIGR04504,TIGR04504,SDR_subfam_2: SDR family mycofactocin-dependent oxidoreductase,4.1E-60,PF13561,adh_short_C2,Enoyl-(Acyl carrier protein) reductase,8.3E-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_111258453.1,9702,10515,+,TIGR03971,TIGR03971,SDR_subfam_1: SDR family mycofactocin-dependent oxidoreductase,4.9E-115,PF13561,adh_short_C2,Enoyl-(Acyl carrier protein) reductase,6.5E-46,TIGR04504,TIGR04504,SDR_subfam_2: SDR family mycofactocin-dependent oxidoreductase,1.2E-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_111258454.1,10525,11368,+,TIGR03971,TIGR03971,SDR_subfam_1: SDR family mycofactocin-dependent oxidoreductase,2.4E-124,TIGR04504,TIGR04504,SDR_subfam_2: SDR family mycofactocin-dependent oxidoreductase,1.4E-52,PF13561,adh_short_C2,Enoyl-(Acyl carrier protein) reductase,9.4E-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_111258455.1,11377,12292,+,PF07728,AAA_5,AAA domain (dynein-related subfamily),2.5E-24,TIGR02640,TIGR02640,gas_vesic_GvpN: gas vesicle protein GvpN,5E-22,PF07726,AAA_3,ATPase family associated with various cellular activities (AAA),1.3E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_199521763.1,12316,13279,+,PF13519,VWA_2,von Willebrand factor type A domain,4.8E-12,PF05762,VWA_CoxE,VWA domain containing CoxE-like protein,2E-09,TIGR02442,TIGR02442,Cob-chelat-sub: cobaltochelatase subunit,5.1E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_111258449.1,Jiangella anatolica,NZ_POTW01000133.1,WP_111258456.1,13275,13947,+,TIGR03964,TIGR03964,mycofact_creat: mycofactocin system creatininase family protein,2E-84,PF02633,Creatininase,Creatinine amidohydrolase,1.1E-53,TIGR04448,TIGR04448,creatininase: creatininase,1.5E-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_212516837.1,16229,17018,+,TIGR01830,TIGR01830,3oxo_ACP_reduc: 3-oxoacyl-[acyl-carrier-protein] reductase,3.5E-17,PF13561,adh_short_C2,Enoyl-(Acyl carrier protein) reductase,2.3E-14,TIGR01832,TIGR01832,kduD: 2-deoxy-D-gluconate 3-dehydrogenase,1.5E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_212516838.1,17026,20425,+,TIGR01235,TIGR01235,pyruv_carbox: pyruvate carboxylase,0,TIGR00514,TIGR00514,"accC: acetyl-CoA carboxylase, biotin carboxylase subunit",9.4E-153,TIGR02712,TIGR02712,urea_carbox: urea carboxylase,1.4E-149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,KDK95_RS35535,20510,20576,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_249160366.1,20549,21143,+,PF07729,FCD,FCD domain,1.4E-25,TIGR03338,TIGR03338,phnR_burk: phosphonate utilization associated transcriptional regulator,4.3E-20,PF00392,GntR,"Bacterial regulatory proteins, gntR family",2E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_212516840.1,21727,21139,-,PF16859,TetR_C_11,"Tetracyclin repressor-like, C-terminal domain",6E-26,PF00440,TetR_N,"Bacterial regulatory proteins, tetR family",1.4E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_212516841.1,21828,23046,+,TIGR04515,TIGR04515,P450_rel_GT_act: P450-derived glycosyltranferase activator,2.6E-43,TIGR04458,TIGR04458,CYP450_TxtE: 4-nitrotryptophan synthase,1.3E-39,TIGR04538,TIGR04538,"P450_cycloAA_1: cytochrome P450, cyclodipeptide synthase-associated",2.4E-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_249160357.1,24610,23035,-,TIGR03970,TIGR03970,"Rv0697: dehydrogenase, Rv0697 family",4.2E-124,TIGR01810,TIGR01810,betA: choline dehydrogenase,8E-80,PF00732,GMC_oxred_N,GMC oxidoreductase,4.8E-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_212516843.1,24622,24805,+,TIGR03969,TIGR03969,mycofactocin: mycofactocin precursor,9.1E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_212516844.1,24831,25158,+,RREFam016,Mycofactocin_RRE,Stand-alone RRE protein in a mycofactocin cluster,2.6E-33,TIGR03967,TIGR03967,mycofact_MftB: putative mycofactocin binding protein MftB,4.2E-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_249160368.1,25238,26369,+,TIGR03962,TIGR03962,mycofact_rSAM: mycofactocin radical SAM maturase,1.7E-183,TIGR04545,TIGR04545,rSAM_ahbD_hemeb: heme b synthase,6.5E-46,TIGR04055,TIGR04055,rSAM_NirJ2: putative heme d1 biosynthesis radical SAM protein NirJ2,2.5E-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_212516846.1,26414,27620,+,TIGR03966,TIGR03966,"actino_HemFlav: heme/flavin dehydrogenase, mycofactocin system",2.1E-206,PF01070,FMN_dh,FMN-dependent dehydrogenase,1.6E-107,TIGR02708,TIGR02708,L_lactate_ox: L-lactate oxidase,6.1E-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_212516847.1,27625,28309,+,TIGR03964,TIGR03964,mycofact_creat: mycofactocin system creatininase family protein,8.2E-97,PF02633,Creatininase,Creatinine amidohydrolase,7.8E-61,TIGR04448,TIGR04448,creatininase: creatininase,1.6E-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_212516848.1,28305,29775,+,TIGR03965,TIGR03965,mycofact_glyco: mycofactocin system glycosyltransferase,4.6E-119,PF13641,Glyco_tranf_2_3,Glycosyltransferase like family 2,3.1E-16,PF00535,Glycos_transf_2,Glycosyl transferase family 2,1.9E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_249160370.1,30200,29690,-,TIGR03968,TIGR03968,mycofact_TetR: mycofactocin system transcriptional regulator,1.5E-73,PF17754,TetR_C_14,MftR C-terminal domain,2.5E-40,PF00440,TetR_N,"Bacterial regulatory proteins, tetR family",5.4E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_212516850.1,31270,30403,-,PF13561,adh_short_C2,Enoyl-(Acyl carrier protein) reductase,8.8E-31,TIGR01830,TIGR01830,3oxo_ACP_reduc: 3-oxoacyl-[acyl-carrier-protein] reductase,5.5E-24,TIGR02415,TIGR02415,23BDH: acetoin reductases,2.4E-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_249160372.1,32473,31312,-,PF07992,Pyr_redox_2,Pyridine nucleotide-disulphide oxidoreductase,7.2E-57,TIGR02374,TIGR02374,"nitri_red_nirB: nitrite reductase [NAD(P)H], large subunit",5.4E-38,TIGR03385,TIGR03385,CoA_CoA_reduc: CoA-disulfide reductase,1.1E-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_212516844.1,Actinospica sp. MGRD01-02,NZ_JAGSOH010000008.1,WP_212516852.1,32679,32481,-,PF13370,Fer4_13,4Fe-4S single cluster domain of Ferredoxin I,6.2E-15,PF13459,Fer4_15,4Fe-4S single cluster domain,4.3E-11,PF06902,Fer4_19,Divergent 4Fe-4S mono-cluster,5.9E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_040718660.1,Nocardia veterana NBRC 100344,NZ_BAGM01000062.1,WP_040718651.1,679,1972,+,TIGR04266,TIGR04266,NDMA_methanol: NDMA-dependent methanol dehydrogenase,1E-206,PF00465,Fe-ADH,Iron-containing alcohol dehydrogenase,2.3E-105,TIGR02638,TIGR02638,lactal_redase: lactaldehyde reductase,1E-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_040718660.1,Nocardia veterana NBRC 100344,NZ_BAGM01000062.1,WP_040718652.1,2054,3155,+,PF07728,AAA_5,AAA domain (dynein-related subfamily),1.4E-13,TIGR02640,TIGR02640,gas_vesic_GvpN: gas vesicle protein GvpN,5.5E-13,PF00004,AAA,ATPase family associated with various cellular activities (AAA),1.4E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_040718660.1,Nocardia veterana NBRC 100344,NZ_BAGM01000062.1,WP_040718653.1,3158,4664,+,PF05762,VWA_CoxE,VWA domain containing CoxE-like protein,9E-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_040718660.1,Nocardia veterana NBRC 100344,NZ_BAGM01000062.1,WP_040718654.1,4660,5542,+,PF13649,Methyltransf_25,Methyltransferase domain,4.7E-07,PF08241,Methyltransf_11,Methyltransferase domain,7.6E-07,TIGR00477,TIGR00477,tehB: tellurite resistance protein TehB,0.00037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_040718660.1,Nocardia veterana NBRC 100344,NZ_BAGM01000062.1,WP_210742622.1,6899,5492,-,TIGR03965,TIGR03965,mycofact_glyco: mycofactocin system glycosyltransferase,2.8E-131,PF00535,Glycos_transf_2,Glycosyl transferase family 2,3.3E-13,PF13632,Glyco_trans_2_3,Glycosyl transferase family group 2,5.3E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP_040718660.1,Nocardia veterana NBRC 100344,NZ_BAGM01000062.1,WP_040718656.1,7729,6940,-,TIGR04504,TIGR04504,SDR_subfam_2: SDR family mycofactocin-dependent oxidoreductase,1.7E-113,TIGR03971,TIGR03971,SDR_subfam_1: SDR family mycofactocin-dependent oxidoreductase,1E-55,PF13561,adh_short_C2,Enoyl-(Acyl carrier protein) reductase,6.6E-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
