,operon,Mycofactocin_RRE,mycofact_rSAM,mycofactocin,actino_HemFlav,mycofact_creat,mycofact_glyco,SDR_subfam_1,SDR_subfam_2,Pyr_redox_2,mycofact_OYE_1,mycofact_OYE_2,Rv0697,TetR_N,Response_reg,ETF_alpha,HisKA_3,DNA_alkylation,Fe-ADH,GG-red-SF,AAA_5,mft_etfB,HTH_AsnC-type,Rxyl_3153,GMC_mycofac_2,mycofact_TetR
WP_041974114.1,"['GG-red-SF', 'ETF_alpha', 'mycofact_OYE_2', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'phoR_proteo', 'Fe-ADH', 'Paired_CXXCH_1', 'Isochorismatase', 'sCache_3_3']",0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
WP_067115910.1,"['PGDH', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_glyco', 'Rv0697']",0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_116376372.1,"['Pyr_redox_2', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697', 'TetR_N']",0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WP_163825585.1,"['Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'DNA_alkylation', 'glut_race', 'Pyr_redox_2']",0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
WP_187588526.1,"['SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'DNA_alkylation', 'Pyr_redox_2']",0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WP_072803354.1,"['GerE', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'actino_HemFlav', 'mycofact_creat']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_136642280.1,"['mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'SDR_subfam_1', 'mycofact_creat', 'mycofact_glyco', 'HTH_18']",0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_116715346.1,"['HNH_5', 'glycerol3P_GlpA', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_glyco']",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_055605747.1,"['actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'mycofact_TetR', 'MLTR_LBD', 'MmgE_PrpD_C', 'TIGR00147']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WP_062398180.1,"['mycofact_creat', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'FMN_reduc_MsuE']",0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_092200042.1,"['EAL', 'mycofact_rSAM', 'Mycofactocin_RRE', 'pcaR_pcaU', 'Aldedh', 'HpnZ_proposed', 'Ring_hydroxyl_B', 'benzo_1_2_benA']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_169182257.1,"['Mycofactocin_RRE', 'mycofactocin', 'adh_short']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_200072267.1,"['ETF_alpha', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'SUFU', 'DUF6507']",0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WP_030326352.1,"['Methyltransf_23', 'mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Acyl-CoA_dh_2', 'Flavin_Reduct']",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WP_100599289.1,"['mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'BPD_transp_1']",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WP_222174220.1,"['am_tr_V_VC1184', 'mycofactocin', 'Mycofactocin_RRE', 'SDR_subfam_1', 'efflux_Bcr_CflA', 'SnoaL', 'mycofact_creat', 'Isochorismatase']",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_188489265.1,"['HisKA_3', 'GerE', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'AMP-binding', 'COesterase', 'Acetyltransf_1', 'MR_MLE_C']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WP_157342908.1,"['PfkB', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco', 'npdG', 'ECH_1']",0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_158890826.1,"['mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Acyl-CoA_dh_C', '4HBT', 'Pyr_redox_2', 'Fer4_15', 'GerE', 'Amino_oxidase']",0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_143528577.1,"['N6_N4_Mtase', 'mycofactocin', 'SDR_subfam_1', 'Mycofactocin_RRE', 'mycofact_rSAM', 'Rxyl_3153', 'AAA_5', 'actino_HemFlav', 'Creatininase', 'mycofact_glyco', '2a6301s01', 'MnhB']",0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
WP_097941235.1,"['mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Pyr_redox_2', 'HTH_AsnC-type']",0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WP_196810034.1,"['mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Pyr_redox_2', 'HTH_AsnC-type']",0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WP_072704570.1,"['mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_OYE_1', 'SDR_subfam_1', 'mycofact_OYE_2', 'ATP-grasp_4', '/NonD']",0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_005936805.1,"['actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'DoxX_3', 'RskA']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_069765148.1,"['mycofact_creat', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'adh_short_C2', 'adh_short_C2']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_057475711.1,"['actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'HisKA_3', 'Fe-ADH', 'VWA_CoxE', 'AAA_5', 'NDMA_methanol']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
WP_179796602.1,"['Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_OYE_1', 'mycofact_OYE_2', 'mycofact_glyco', 'MOSC']",0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_224277223.1,"['Aldedh', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco']",0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_041996781.1,"['Mycofactocin_RRE', 'mycofact_rSAM', 'SDR_subfam_1', 'SDR_subfam_1', 'gas_vesic_GvpN', 'VWA_2', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco']",0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_162393273.1,"['Mycofactocin_RRE', 'Transp_cyt_pur']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_189244077.1,"['actino_HemFlav', 'mycofact_rSAM', 'SDR_subfam_1', 'Cupin_3', 'Amino_oxidase']",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_125089385.1,"['ETF_alpha', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Rxyl_3153', 'Usp', 'P_acnes_RR', 'FmdA_AmdA', 'aceE']",0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
WP_083865143.1,"['mycofact_glyco', 'mycofact_rSAM', 'mycofactocin', 'glut_race', 'Pyr_redox_2']",0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_113828407.1,"['SDR_subfam_1', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_creat', 'Isochorismatase', 'mycofact_glyco', 'efflux_Bcr_CflA']",0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_189138050.1,"['mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco']",0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_207918514.1,"['citE', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'AcAcCoA_reduct', 'Acyl-CoA_dh_1', 'CoA_transf_3', '2A0106', 'ECH_1']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_086681994.1,"['Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_creat', 'SDR_subfam_2', 'actino_HemFlav', 'Methyltransf_25']",0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_216895555.1,"['Flavin_Reduct', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'TetR_N']",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WP_017617743.1,"['mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_OYE_1', 'mycofact_OYE_2', 'ETF_alpha', 'GG-red-SF', 'FeFe_hydrog_B1', 'betaine_BetI']",0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
WP_142007755.1,"['mycofact_glyco', 'SDR_subfam_2', 'mycofact_creat', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Response_reg']",0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WP_017593158.1,"['mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'SoxH_rel_PQQ_2', 'P450_rel_GT_act', 'CDF']",0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_125038028.1,"['SDR_subfam_2', 'mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'PNTB', 'pntA', 'Rieske', 'FAA_hydrolase', 'gentisate_1_2', 'SDR_subfam_1']",0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_129986449.1,"['mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_creat', 'mycofact_glyco', 'CutC', 'Peptidase_S66']",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_119065635.1,"['mycofact_glyco', 'Creatininase', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'SDR_subfam_1', 'mycofactocin', 'Methyltransf_11', 'VWA_CoxE', 'VWA_CoxE', 'AAA_5', 'NDMA_methanol', 'AbrB']",0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WP_069801957.1,"['mycofact_rSAM', 'Mycofactocin_RRE', 'Glyoxalase']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_149653584.1,"['mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_197690405.1,"['mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_creat', 'mycofact_glyco', 'Rv0697']",0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_217809278.1,"['mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'PGDH', 'Pyr_redox_2', 'SDR_subfam_1', 'SHOCT', 'PE']",0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_122441348.1,"['mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rv0697', 'TetR_N']",0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WP_225404752.1,"['mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'F420_MSMEG_2249', 'Esterase_PHB', 'NAD_binding_8']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_207223674.1,"['mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin']",0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_187769310.1,"['mycofact_OYE_2', 'Aldedh', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'Rxyl_3153']",0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WP_007619279.1,"['SDR_subfam_1', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'DNA_alkylation', 'Pyr_redox_2']",0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WP_170182376.1,"['DJ-1_PfpI', 'MR_MLE_C', 'actino_HemFlav', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'amphi-Trp']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_033188267.1,"['actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'ECH_1', 'hemL', 'Aldedh', 'Rxyl_3153']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WP_068368285.1,"['mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'actino_HemFlav']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_103939396.1,"['SDR_subfam_2', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'MscL', 'Clp_N']",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_137160495.1,"['TetR_N', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'SDR_subfam_1', 'VWA_2', 'EAL', 'mycofact_creat']",0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WP_132992090.1,"['actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'DNA_alkylation', 'Pyr_redox_2', 'PS_I_psaM']",0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WP_227997148.1,"['AMP-binding', 'GAF', 'Rv0697', 'mycofact_glyco', 'mycofact_rSAM', 'DNA_alkylation', 'glut_race']",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
WP_012852712.1,"['actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'Peptidase_M14', 'Sortase', 'mycofact_TetR']",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WP_110342007.1,"['ETF_alpha', 'mycofact_OYE_2', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'greA', 'Tex_N']",0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WP_158918945.1,"['mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'GerE', 'HATPase_c_2', 'MFS_1', '4HBT_2']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_030870352.1,"['mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_OYE_1', 'mycofact_OYE_2', 'ETF_alpha', 'GG-red-SF', 'FeFe_hydrog_B1', 'mft_etfB', 'SDR_subfam_2']",0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
WP_075022714.1,"['Response_reg', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_glyco', 'HisKA', 'Ac_CoA_lig_AcsA', 'adk']",0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WP_030615113.1,"['actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'HxlR']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_124437537.1,"['mycofact_TetR', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco']",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WP_223397610.1,"['Response_reg', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_creat', 'mycofact_glyco', 'Trans_reg_C', '4hydroxCoAred', 'CO_dehy_Mo_lg', 'FAD_binding_5']",0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WP_137774430.1,"['Rv0697', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'mycofact_glyco', 'IclR']",0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_011566067.1,"['actino_HemFlav', 'AAA_5', 'Rxyl_3153', 'mycofact_rSAM', 'Mycofactocin_RRE', 'SDR_subfam_1', 'mycofactocin', 'N6_N4_Mtase', 'panF', 'DUF3311', '4HBT_2']",0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
WP_050982591.1,"['mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_glyco', 'Rv0697', 'TetR_N']",0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WP_065014878.1,"['mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Pyr_redox_2', 'SDR_subfam_1', 'EF-Tu', 'EF-G', 'rpsG_bact']",0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_081287784.1,"['mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Pyr_redox_2', 'SDR_subfam_1', 'SHOCT']",0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_015305006.1,"['mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_glyco', 'Rv0697', 'TetR_N']",0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WP_149480299.1,"['mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Pyr_redox_2', 'HTH_24']",0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_012873300.1,"['mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_glyco']",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_163753885.1,"['mycofact_creat', 'actino_HemFlav', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'Pyr_redox_2', 'SDR_subfam_1', 'EF-Tu', 'EF-G', 'rpsG_bact']",0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_153803715.1,"['mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'mycofact_creat', 'SDR_subfam_2', 'mycofact_glyco', 'actino_HemFlav', 'TetR_N', 'Pyr_redox_3', 'SDR_subfam_1']",0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WP_223186609.1,"['SDR_subfam_1', 'SDR_subfam_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'uvra', 'Glyoxalase_6', 'AHSA1', 'SGL']",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_223860069.1,"['FadJ', 'mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'mycofact_creat', 'Rv0697']",0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_137724950.1,"['mycofactocin', 'Mycofactocin_RRE', 'mycofact_rSAM', 'actino_HemFlav', 'SDR_subfam_1', 'mycofact_creat', 'mycofact_glyco', 'Rv0697']",0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_164203365.1,"['mycofact_rSAM', 'Mycofactocin_RRE', 'SBP_bac_8', 'PhnU2', 'PhnU2', 'potA']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_135134138.1,"['Mycofactocin_RRE', 'mycofact_rSAM', 'drrB', 'mycofact_creat']",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_225233488.1,"['SDR_subfam_1', 'mycofact_OYE_1', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'am_tr_V_VC1184', 'FAD_binding_3', 'SpoIIE', 'EAL']",0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_064438547.1,"['mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'DcuC']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WP_179443697.1,"['SDR_subfam_2', 'mycofact_rSAM', 'Mycofactocin_RRE', 'mycofactocin', 'dnlj', 'PNTB', 'pntA', 'Meth_synt_2']",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
